solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum
test,ss_varden,10000000,3,1.in,0.0433147,0.0829427,-1,1.4877,28.7623,104.792
test,ss_varden,10000000,3,2.in,0.0446637,0.0920457,-1,1.48768,30.6564,108.182
test,ss_varden,50000000,3,1.in,0.183573,0.423632,-1,8.04846,32.6083,118.432
test,ss_varden,50000000,3,2.in,0.185948,0.448384,-1,8.13135,32.9804,119.359
test,ss_varden,100000000,3,1.in,0.360879,0.765633,-1,16.1824,34.1514,121.347
test,ss_varden,100000000,3,2.in,0.373243,0.751892,-1,16.1781,34.1192,121.429
test,ss_varden,500000000,3,1.in,2.59323,3.89795,-1,83.3816,37.7733,126.265
test,ss_varden,500000000,3,2.in,2.55969,3.58215,-1,85.2754,37.641,128.612
test,uniform,10000000,3,1.in,0.0453787,0.0387333,-1,1.54731,29.4795,116.213
test,uniform,10000000,3,2.in,0.039658,0.0381993,-1,1.54918,29.5417,116.596
test,uniform,50000000,3,1.in,0.172035,0.184371,-1,7.93339,32.5176,118.762
test,uniform,50000000,3,2.in,0.168717,0.174459,-1,7.91464,32.5327,118.663
test,uniform,100000000,3,1.in,0.33281,0.352325,-1,15.4506,33.9177,119.861
test,uniform,100000000,3,2.in,0.321386,0.340651,-1,15.4231,33.881,119.857
test,uniform,500000000,3,1.in,2.30698,1.9895,-1,80.7737,37.2591,124.053
test,uniform,500000000,3,2.in,2.23827,2.06183,-1,80.9111,37.2635,124.032
zdtree,ss_varden,10000000,3,1.in,0.0493873,0.064985,-1,4.65075,-1,-1
zdtree,ss_varden,10000000,3,2.in,0.0499657,0.0621053,-1,4.66255,-1,-1
zdtree,ss_varden,50000000,3,1.in,0.250838,0.284746,-1,17.757,-1,-1
zdtree,ss_varden,50000000,3,2.in,0.249781,0.292216,-1,19.0029,-1,-1
zdtree,ss_varden,100000000,3,1.in,0.498467,0.61236,-1,35.5159,-1,-1
zdtree,ss_varden,100000000,3,2.in,0.502584,0.605479,-1,33.6085,-1,-1
zdtree,ss_varden,500000000,3,1.in,2.54527,3.44301,-1,164.769,-1,-1
zdtree,ss_varden,500000000,3,2.in,2.53971,3.3724,-1,165.72,-1,-1
zdtree,uniform,10000000,3,1.in,0.0525993,0.0681303,-1,3.8786,-1,-1
zdtree,uniform,10000000,3,2.in,0.0526927,0.0672203,-1,3.88184,-1,-1
zdtree,uniform,50000000,3,1.in,0.265991,0.346714,-1,19.7628,-1,-1
zdtree,uniform,50000000,3,2.in,0.265429,0.344017,-1,19.7116,-1,-1
zdtree,uniform,100000000,3,1.in,0.532997,0.704913,-1,38.6237,-1,-1
zdtree,uniform,100000000,3,2.in,0.531125,0.721479,-1,38.5713,-1,-1
zdtree,uniform,500000000,3,1.in,2.72587,3.70788,-1,209.353,-1,-1
zdtree,uniform,500000000,3,2.in,2.71834,3.64596,-1,209.269,-1,-1
