solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum
test,ss_varden,10000000,3,1.in,0.0406257,0.084429,0.0834643,0.788122,29.4156,96.694
test,ss_varden,10000000,3,2.in,0.038963,0.0765953,0.0799647,0.744979,29.4702,98.0631
test,ss_varden,50000000,3,1.in,0.16876,0.410141,0.320853,3.47556,31.4565,102.695
test,ss_varden,50000000,3,2.in,0.170086,0.423722,0.322496,3.41735,31.4949,100.864
test,ss_varden,100000000,3,1.in,0.339019,0.722043,0.607828,7.11106,33.8314,107.799
test,ss_varden,100000000,3,2.in,0.340355,0.79215,0.577649,7.23243,33.6958,108.519
test,ss_varden,500000000,3,1.in,2.37484,3.5408,2.99436,40.6726,42.108,124.291
test,ss_varden,500000000,3,2.in,2.24262,3.68834,2.97311,39.2296,40.8377,119.246
test,uniform,10000000,3,1.in,0.0379487,0.038228,0.0365427,2.25663,39.3423,133.367
test,uniform,10000000,3,2.in,0.037613,0.0399277,0.0375427,2.24842,39.1673,133.045
test,uniform,50000000,3,1.in,0.154823,0.177521,0.173982,13.9485,44.664,136.819
test,uniform,50000000,3,2.in,0.152226,0.179112,0.168131,13.9477,44.5669,136.639
test,uniform,100000000,3,1.in,0.304608,0.346739,0.353934,30.3384,46.5809,141.446
test,uniform,100000000,3,2.in,0.301959,0.35552,0.351033,30.3991,46.5459,141.417
test,uniform,500000000,3,1.in,1.91044,2.07442,2.06872,173.311,51.1591,142.723
test,uniform,500000000,3,2.in,1.85617,2.12023,2.07676,173.654,51.1909,142.769
zdtree,ss_varden,10000000,3,1.in,0.0493873,0.064985,-1,4.65075,-1,-1
zdtree,ss_varden,10000000,3,2.in,0.0499657,0.0621053,-1,4.66255,-1,-1
zdtree,ss_varden,50000000,3,1.in,0.250838,0.284746,-1,17.757,-1,-1
zdtree,ss_varden,50000000,3,2.in,0.249781,0.292216,-1,19.0029,-1,-1
zdtree,ss_varden,100000000,3,1.in,0.498467,0.61236,-1,35.5159,-1,-1
zdtree,ss_varden,100000000,3,2.in,0.502584,0.605479,-1,33.6085,-1,-1
zdtree,ss_varden,500000000,3,1.in,2.54527,3.44301,-1,164.769,-1,-1
zdtree,ss_varden,500000000,3,2.in,2.53971,3.3724,-1,165.72,-1,-1
zdtree,uniform,10000000,3,1.in,0.0525993,0.0681303,-1,3.8786,-1,-1
zdtree,uniform,10000000,3,2.in,0.0526927,0.0672203,-1,3.88184,-1,-1
zdtree,uniform,50000000,3,1.in,0.265991,0.346714,-1,19.7628,-1,-1
zdtree,uniform,50000000,3,2.in,0.265429,0.344017,-1,19.7116,-1,-1
zdtree,uniform,100000000,3,1.in,0.532997,0.704913,-1,38.6237,-1,-1
zdtree,uniform,100000000,3,2.in,0.531125,0.721479,-1,38.5713,-1,-1
zdtree,uniform,500000000,3,1.in,2.72587,3.70788,-1,209.353,-1,-1
zdtree,uniform,500000000,3,2.in,2.71834,3.64596,-1,209.269,-1,-1
