solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum
test,ss_varden,10000000,3,1.in,0.037201,0.0747647,0.078685,0.753674,29.4156,96.694
test,ss_varden,10000000,3,2.in,0.0408077,0.0852317,0.0801357,0.754571,29.4702,98.0631
test,ss_varden,50000000,3,1.in,0.170418,0.407821,0.324196,3.67242,31.4565,102.695
test,ss_varden,50000000,3,2.in,0.171714,0.434493,0.313772,3.60234,31.4949,100.864
test,ss_varden,100000000,3,1.in,0.341218,0.773596,0.61912,7.49758,33.8314,107.799
test,ss_varden,100000000,3,2.in,0.337144,0.810425,0.595004,7.60895,33.6958,108.519
test,ss_varden,500000000,3,1.in,2.21754,3.89293,2.92844,41.6397,42.108,124.291
test,ss_varden,500000000,3,2.in,2.36689,3.71296,3.18114,40.3734,40.8377,119.246
test,uniform,10000000,3,1.in,0.0405253,0.0380023,0.0367993,2.26684,39.3423,133.367
test,uniform,10000000,3,2.in,0.035776,0.0378113,0.0358007,2.26161,39.1673,133.045
test,uniform,50000000,3,1.in,0.158776,0.181953,0.174178,12.6406,44.664,136.819
test,uniform,50000000,3,2.in,0.152008,0.181148,0.168535,12.6885,44.5669,136.639
test,uniform,100000000,3,1.in,0.305904,0.345455,0.346887,26.9507,46.5809,141.446
test,uniform,100000000,3,2.in,0.310563,0.343755,0.327326,26.9931,46.5459,141.417
test,uniform,500000000,3,1.in,1.93446,2.00708,1.98859,141.451,51.1591,142.723
test,uniform,500000000,3,2.in,1.98174,2.11946,2.04748,140.556,51.1909,142.769
zdtree,ss_varden,10000000,3,1.in,0.0493873,0.064985,-1,4.65075,-1,-1
zdtree,ss_varden,10000000,3,2.in,0.0499657,0.0621053,-1,4.66255,-1,-1
zdtree,ss_varden,50000000,3,1.in,0.250838,0.284746,-1,17.757,-1,-1
zdtree,ss_varden,50000000,3,2.in,0.249781,0.292216,-1,19.0029,-1,-1
zdtree,ss_varden,100000000,3,1.in,0.498467,0.61236,-1,35.5159,-1,-1
zdtree,ss_varden,100000000,3,2.in,0.502584,0.605479,-1,33.6085,-1,-1
zdtree,ss_varden,500000000,3,1.in,2.54527,3.44301,-1,164.769,-1,-1
zdtree,ss_varden,500000000,3,2.in,2.53971,3.3724,-1,165.72,-1,-1
zdtree,uniform,10000000,3,1.in,0.0525993,0.0681303,-1,3.8786,-1,-1
zdtree,uniform,10000000,3,2.in,0.0526927,0.0672203,-1,3.88184,-1,-1
zdtree,uniform,50000000,3,1.in,0.265991,0.346714,-1,19.7628,-1,-1
zdtree,uniform,50000000,3,2.in,0.265429,0.344017,-1,19.7116,-1,-1
zdtree,uniform,100000000,3,1.in,0.532997,0.704913,-1,38.6237,-1,-1
zdtree,uniform,100000000,3,2.in,0.531125,0.721479,-1,38.5713,-1,-1
zdtree,uniform,500000000,3,1.in,2.72587,3.70788,-1,209.353,-1,-1
zdtree,uniform,500000000,3,2.in,2.71834,3.64596,-1,209.269,-1,-1
