solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum,rangeCountTime,rangeQueryTime
test,ss_varden,10000000,2,1.in,0.033526,0.041346,0.0360477,0.468029,38.8785,66.4139,1.13766,-1
test,ss_varden,10000000,2,2.in,0.032522,0.0406447,0.0344483,0.452655,38.6284,64.9959,0.533135,-1
test,ss_varden,50000000,2,1.in,0.132803,0.185973,0.167308,2.21856,45.1705,67.4682,3.01901,-1
test,ss_varden,50000000,2,2.in,0.134142,0.182285,0.167192,2.2321,45.1359,67.7974,3.96993,-1
test,ss_varden,100000000,2,1.in,0.263496,0.364226,0.329515,4.48657,47.292,69.313,9.37671,-1
test,ss_varden,100000000,2,2.in,0.268485,0.354438,0.326379,4.36519,47.1951,67.9801,12.9382,-1
test,ss_varden,500000000,2,1.in,1.84419,2.11673,1.90458,21.471,51.6556,69.0717,43.8579,-1
test,ss_varden,500000000,2,2.in,1.79561,1.9992,1.92256,22.0198,51.8975,70.3389,70.9877,-1
test,uniform,10000000,2,1.in,0.0321077,0.0457547,0.037708,0.415446,39.1342,61.3343,0.750449,-1
test,uniform,10000000,2,2.in,0.030344,0.0434973,0.039723,0.41532,38.9027,61.1055,0.794754,-1
test,uniform,50000000,2,1.in,0.127189,0.189858,0.175616,2.13302,44.7499,65.2806,4.45864,-1
test,uniform,50000000,2,2.in,0.126975,0.191457,0.172557,2.12723,44.6946,65.2291,4.96663,-1
test,uniform,100000000,2,1.in,0.250805,0.373122,0.342668,4.21265,46.592,66.0078,9.62979,-1
test,uniform,100000000,2,2.in,0.255451,0.366188,0.341125,4.19781,46.809,66.1509,10.3958,-1
test,uniform,500000000,2,1.in,1.58398,2.14685,2.12052,21.3092,51.3268,68.1459,48.9526,-1
test,uniform,500000000,2,2.in,1.56261,2.21973,2.09795,21.3778,51.2811,68.1621,56.4671,-1
zdtree,ss_varden,10000000,2,1.in,0.0409013,0.053809,0.056963,0.940807,-1,-1,3.2196,-1
zdtree,ss_varden,10000000,2,2.in,0.0397573,0.0533657,0.056761,0.886522,-1,-1,1.5651,-1
zdtree,ss_varden,50000000,2,1.in,0.206666,0.288176,0.289651,4.04664,-1,-1,9.67267,-1
zdtree,ss_varden,50000000,2,2.in,0.205905,0.272297,0.298345,4.05465,-1,-1,13.4371,-1
zdtree,ss_varden,100000000,2,1.in,0.413682,0.576569,0.582066,8.11541,-1,-1,28.2494,-1
zdtree,ss_varden,100000000,2,2.in,0.415222,0.600582,0.624341,8.18033,-1,-1,37.5952,-1
zdtree,ss_varden,500000000,2,1.in,2.09884,3.06802,3.10632,40.9937,-1,-1,122.096,-1
zdtree,ss_varden,500000000,2,2.in,2.10644,3.06424,3.12248,40.9571,-1,-1,212.066,-1
zdtree,uniform,10000000,2,1.in,0.043389,0.0564647,0.0575423,0.831538,-1,-1,2.70687,-1
zdtree,uniform,10000000,2,2.in,0.0424287,0.060448,0.0582687,0.831729,-1,-1,2.86773,-1
zdtree,uniform,50000000,2,1.in,0.219808,0.302325,0.310266,4.19806,-1,-1,9.40783,-1
zdtree,uniform,50000000,2,2.in,0.219929,0.2892,0.316262,4.191,-1,-1,10.2611,-1
zdtree,uniform,100000000,2,1.in,0.437735,0.632098,0.653943,8.34692,-1,-1,19.4478,-1
zdtree,uniform,100000000,2,2.in,0.43652,0.580735,0.658742,8.31621,-1,-1,23.588,-1
zdtree,uniform,500000000,2,1.in,2.22063,3.2296,3.33064,41.5226,-1,-1,109.716,-1
zdtree,uniform,500000000,2,2.in,2.21474,3.22338,3.33494,41.8587,-1,-1,120.665,-1
cgal,ss_varden,10000000,2,1.in,5.15306,13.2371,4.46519,2.24908,-1,-1,138.088,-1
cgal,ss_varden,10000000,2,2.in,4.6818,13.9326,4.61285,2.2899,-1,-1,250.477,-1
cgal,ss_varden,50000000,2,1.in,22.6331,76.7872,33.7889,13.853,-1,-1,1044.92,-1
cgal,ss_varden,50000000,2,2.in,22.3955,66.084,32.616,13.0085,-1,-1,1077.38,-1
cgal,ss_varden,100000000,2,1.in,41.9096,132.575,76.8683,24.1507,-1,-1,1915.74,-1
cgal,ss_varden,100000000,2,2.in,47.9936,128.21,78.8137,24.5628,-1,-1,1846.38,-1
cgal,ss_varden,500000000,2,1.in,191.415,694.819,604.85,90.4869,-1,-1,11686.6,-1
cgal,ss_varden,500000000,2,2.in,198.378,639.557,635.565,88.5274,-1,-1,8223.15,-1
cgal,uniform,10000000,2,1.in,5.78449,18.1834,4.47868,3.15569,-1,-1,208.895,-1
cgal,uniform,10000000,2,2.in,5.9252,17.5655,4.47896,3.22114,-1,-1,224.488,-1
cgal,uniform,50000000,2,1.in,31.3642,95.655,29.7844,22.3803,-1,-1,1291.05,-1
cgal,uniform,50000000,2,2.in,33.4303,95.6499,29.7589,22.402,-1,-1,1303.33,-1
cgal,uniform,100000000,2,1.in,73.2473,186.4,64.9989,46.9463,-1,-1,2443.16,-1
cgal,uniform,100000000,2,2.in,64.3454,194.973,64.9342,47.0567,-1,-1,2599.56,-1
cgal,uniform,500000000,2,1.in,303.496,964.235,372.548,236.241,-1,-1,-1,-1
