solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum,rangeCountTime,rangeQueryTime
test,ss_varden,10000000,3,1.in,0.038881,0.0663193,0.089219,0.876235,27.0558,101.088,0.364676,1.29903
test,ss_varden,10000000,3,2.in,0.0376217,0.0686167,0.0669883,0.873088,26.6899,100.934,0.114925,0.638855
test,ss_varden,50000000,3,1.in,0.157764,0.374224,0.297999,4.58655,32.5388,116.28,6.47821,12.8627
test,ss_varden,50000000,3,2.in,0.167671,0.373321,0.2805,4.52698,32.9244,113.927,5.37948,10.6544
test,ss_varden,100000000,3,1.in,0.317622,0.653545,0.53796,9.2497,36.5187,121.08,11.8234,23.8046
test,ss_varden,100000000,3,2.in,0.324782,0.633384,0.562891,9.48665,36.1835,122.994,1.93203,4.83945
test,ss_varden,500000000,3,1.in,2.18988,3.38774,2.70567,48.475,45.1321,137.21,61.0433,132.878
test,ss_varden,500000000,3,2.in,2.26806,3.19414,2.68615,48.4219,44.699,136.508,20.1075,52.22
test,uniform,10000000,3,1.in,0.038224,0.0447067,0.0395827,0.898019,39.4471,134.97,0.790048,1.79702
test,uniform,10000000,3,2.in,0.0371603,0.0401733,0.0369067,0.899254,39.1822,134.678,0.699644,1.60287
test,uniform,50000000,3,1.in,0.153198,0.199268,0.176449,4.46585,44.7373,138.379,4.27763,9.56135
test,uniform,50000000,3,2.in,0.149923,0.192482,0.174899,4.43229,44.6918,138.187,4.51735,9.9009
test,uniform,100000000,3,1.in,0.302512,0.390499,0.344489,9.23052,46.7434,144.569,10.3055,22.7758
test,uniform,100000000,3,2.in,0.297435,0.390689,0.336938,9.24207,46.7631,144.474,10.228,22.9668
test,uniform,500000000,3,1.in,1.9087,2.07368,1.95288,46.3245,51.2675,144.411,52.4606,115.526
test,uniform,500000000,3,2.in,1.91185,2.08535,2.04449,46.2518,51.239,144.172,45.71,103.929
zdtree,ss_varden,10000000,3,1.in,0.0477007,0.0635773,0.0351513,2.01471,-1,-1,0.889033,11232.5
zdtree,ss_varden,10000000,3,2.in,0.0472697,0.0600273,0.034114,1.7062,-1,-1,0.302267,3776.31
zdtree,ss_varden,50000000,3,1.in,0.242145,0.292179,0.210811,7.20151,-1,-1,26.3227,55626.2
zdtree,ss_varden,50000000,3,2.in,0.24289,0.295995,0.222085,7.32865,-1,-1,23.0916,47857.7
zdtree,ss_varden,100000000,3,1.in,0.484271,0.623623,0.510719,14.3982,-1,-1,51.3119,52885.7
zdtree,ss_varden,100000000,3,2.in,0.490696,0.60267,0.494169,14.6365,-1,-1,7.9869,408467
zdtree,ss_varden,500000000,3,1.in,2.47225,3.41094,3.07351,76.8711,-1,-1,230.616,-1
zdtree,ss_varden,500000000,3,2.in,2.45912,3.3009,3.00557,75.753,-1,-1,77.0556,-1
zdtree,uniform,10000000,3,1.in,0.0506853,0.0662957,0.0653173,1.72308,-1,-1,2.23507,6027.48
zdtree,uniform,10000000,3,2.in,0.0505727,0.068479,0.066014,1.72403,-1,-1,2.72433,7579.81
zdtree,uniform,50000000,3,1.in,0.257516,0.344196,0.330131,8.30444,-1,-1,11.3212,99939.2
zdtree,uniform,50000000,3,2.in,0.25545,0.339533,0.342875,8.32336,-1,-1,11.7645,76362.4
zdtree,uniform,100000000,3,1.in,0.517414,0.733265,0.699415,17.6231,-1,-1,23.5555,429398
zdtree,uniform,100000000,3,2.in,0.519062,0.693069,0.678767,17.6285,-1,-1,30.477,207018
zdtree,uniform,500000000,3,1.in,2.65152,3.7149,3.59052,87.4088,-1,-1,75.0277,-1
zdtree,uniform,500000000,3,2.in,2.63532,3.62324,3.51241,87.4537,-1,-1,155.696,-1
cgal,ss_varden,10000000,3,1.in,3.63669,10.5776,2.72501,1.266,-1,-1,128.2,128.51
cgal,ss_varden,10000000,3,2.in,3.65788,9.38436,2.43841,1.27363,-1,-1,79.7698,79.8874
cgal,ss_varden,50000000,3,1.in,19.2741,49.0029,22.098,6.53179,-1,-1,18.3826,18.3462
cgal,ss_varden,50000000,3,2.in,17.2971,52.2258,26.0636,6.44971,-1,-1,35.1042,35.0594
cgal,ss_varden,100000000,3,1.in,33.9904,109.838,67.5938,13.3245,-1,-1,9.90471,9.89535
cgal,ss_varden,100000000,3,2.in,35.0753,106.259,63.8635,13.7003,-1,-1,327.23,327.261
cgal,ss_varden,500000000,3,1.in,193.631,643.575,819.73,75.4066,-1,-1,3053.25,3047.09
cgal,ss_varden,500000000,3,2.in,170.725,580.905,989.498,72.0112,-1,-1,3815.07,3800.39
cgal,uniform,10000000,3,1.in,9.0816,19.8038,22.8073,7.57117,-1,-1,56.7757,56.7827
cgal,uniform,10000000,3,2.in,9.11803,19.7556,22.79,7.65476,-1,-1,60.4119,60.2501
cgal,uniform,50000000,3,1.in,42.9863,108.402,163.63,43.117,-1,-1,300.831,301.303
cgal,uniform,50000000,3,2.in,44.3584,105.446,167.293,43.5642,-1,-1,295.923,295.436
cgal,uniform,100000000,3,1.in,95.2129,213.717,406.609,97.2381,-1,-1,666.591,612.331
cgal,uniform,100000000,3,2.in,105.427,219.99,399.688,96.191,-1,-1,634.464,632.935
cgal,uniform,500000000,3,1.in,543.355,1358.85,3325.33,568.198,-1,-1,3397.09,3245.13
cgal,uniform,500000000,3,2.in,552.377,1296.69,3351.92,558.927,-1,-1,2975.46,2818.15
