solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum
test,ss_varden,10000000,3,1.in,0.0363137,0.0870207,-1,1.57422,29.882,107.025
test,ss_varden,10000000,3,2.in,0.038031,0.101032,-1,1.54223,29.8689,106.596
test,ss_varden,50000000,3,1.in,0.274484,0.483997,-1,8.19753,33.1581,119.854
test,ss_varden,50000000,3,2.in,0.273611,0.46427,-1,8.13843,32.1342,116.723
test,ss_varden,100000000,3,1.in,0.528656,0.89127,-1,16.6001,34.0999,121.015
test,ss_varden,100000000,3,2.in,0.530652,0.905145,-1,16.7975,34.2075,121.708
test,ss_varden,500000000,3,1.in,2.71135,3.87215,-1,90.392,37.8637,126.46
test,ss_varden,500000000,3,2.in,2.74008,3.81145,-1,91.892,37.8744,128.972
test,uniform,10000000,3,1.in,0.0353377,0.037734,-1,4.91337,29.3516,115.684
test,uniform,10000000,3,2.in,0.0373647,0.0362023,-1,4.9356,29.3978,115.727
test,uniform,50000000,3,1.in,0.219291,0.212498,-1,29.008,32.6084,118.3
test,uniform,50000000,3,2.in,0.222226,0.203076,-1,28.9562,32.5959,118.239
test,uniform,100000000,3,1.in,0.431075,0.384273,-1,58.9945,33.9583,120.043
test,uniform,100000000,3,2.in,0.423445,0.386614,-1,58.965,34.0031,120.135
test,uniform,500000000,3,1.in,2.05188,2.20642,-1,330.837,37.3243,123.592
test,uniform,500000000,3,2.in,2.01825,2.20551,-1,331.371,37.3223,123.677

