solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum
test,ss_varden,10000000,3,1.in,0.036839,0.0867283,-1,1.58954,29.882,107.025
test,ss_varden,10000000,3,2.in,0.0363263,0.0828367,-1,1.56001,29.8689,106.596
test,ss_varden,50000000,3,1.in,0.226923,0.439302,-1,8.35116,33.1581,119.854
test,ss_varden,50000000,3,2.in,0.239886,0.439438,-1,8.27418,32.1342,116.723
test,ss_varden,100000000,3,1.in,0.447488,0.852814,-1,16.6666,34.0999,121.015
test,ss_varden,100000000,3,2.in,0.448742,0.794386,-1,16.7003,34.2075,121.708
test,ss_varden,500000000,3,1.in,2.47145,3.74811,-1,88.2038,37.8637,126.46
test,ss_varden,500000000,3,2.in,2.53286,3.50892,-1,90.7494,37.8744,128.972
test,uniform,10000000,3,1.in,0.03574,0.0331773,-1,4.93988,29.3516,115.684
test,uniform,10000000,3,2.in,0.0331757,0.032932,-1,4.91143,29.3978,115.727
test,uniform,50000000,3,1.in,0.181065,0.185471,-1,26.8328,32.6084,118.3
test,uniform,50000000,3,2.in,0.195389,0.174707,-1,26.769,32.5959,118.239
test,uniform,100000000,3,1.in,0.373114,0.368148,-1,54.1513,33.9583,120.043
test,uniform,100000000,3,2.in,0.338978,0.359243,-1,53.8522,34.0031,120.135
test,uniform,500000000,3,1.in,1.77941,1.93035,-1,327.032,37.3243,123.592
test,uniform,500000000,3,2.in,1.76658,1.91284,-1,327.125,37.3223,123.677

