"","solver","benchType","nodes","avg"
"1","zdtree","ss_varden",10000000,0.0643442
"2","test","ss_varden",10000000,0.0847825
"3","zdtree","ss_varden",50000000,0.29958
"4","test","ss_varden",50000000,0.43937
"5","zdtree","ss_varden",100000000,0.6491025
"6","test","ss_varden",100000000,0.8236
"7","zdtree","ss_varden",500000000,3.560255
"8","test","ss_varden",500000000,3.628515
"9","test","uniform",10000000,0.03305465
"10","zdtree","uniform",10000000,0.06859735
"11","test","uniform",50000000,0.180089
"12","zdtree","uniform",50000000,0.3662055
"13","test","uniform",100000000,0.3636955
"14","zdtree","uniform",100000000,0.7230525
"15","test","uniform",500000000,1.921595
"16","zdtree","uniform",500000000,3.773385
