"","solver","benchType","nodes","avg"
"1","test","ss_varden",10000000,1.57e-07
"2","zdtree","ss_varden",10000000,1.625e-06
"3","test","ss_varden",50000000,1.66e-07
"4","zdtree","ss_varden",50000000,1.551e-06
"5","test","ss_varden",100000000,1.67e-07
"6","zdtree","ss_varden",100000000,1.557e-06
"7","test","ss_varden",500000000,1.79e-07
"8","zdtree","ss_varden",500000000,1.637e-06
"9","test","uniform",10000000,4.93e-07
"10","zdtree","uniform",10000000,1.531e-06
"11","test","uniform",50000000,5.36e-07
"12","zdtree","uniform",50000000,1.774e-06
"13","test","uniform",100000000,5.4e-07
"14","zdtree","uniform",100000000,1.802e-06
"15","test","uniform",500000000,6.54e-07
"16","zdtree","uniform",500000000,2.028e-06
