solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,core
test,ss_varden,100000000,3,1.in,18.7644,32.7498,29.2556,1
test,ss_varden,100000000,3,1.in,4.9375,8.66437,7.79756,4
test,ss_varden,100000000,3,1.in,2.54484,4.46589,4.01556,8
test,ss_varden,100000000,3,1.in,1.30497,2.28045,2.05895,16
test,ss_varden,100000000,3,1.in,1.07323,1.86724,1.66803,24
test,ss_varden,100000000,3,1.in,0.614716,1.06723,0.947411,48
test,ss_varden,100000000,3,1.in,0.522171,0.801649,0.675137,96
test,ss_varden,500000000,3,1.in,119.32,178.238,161.988,1
test,ss_varden,500000000,3,1.in,31.4169,47.291,43.141,4
test,ss_varden,500000000,3,1.in,16.2666,24.2999,22.2104,8
test,ss_varden,500000000,3,1.in,8.2382,12.3216,11.2658,16
test,ss_varden,500000000,3,1.in,6.9239,10.3569,8.98831,24
test,ss_varden,500000000,3,1.in,3.67647,5.42566,4.80207,48
test,ss_varden,500000000,3,1.in,2.70205,4.22117,3.54645,96
test,uniform,100000000,3,1.in,21.3189,31.3489,31.1765,1
test,uniform,100000000,3,1.in,5.60533,8.26602,8.26883,4
test,uniform,100000000,3,1.in,2.87492,4.25801,4.25311,8
test,uniform,100000000,3,1.in,1.46302,2.15969,2.16524,16
test,uniform,100000000,3,1.in,1.17033,1.75239,1.70196,24
test,uniform,100000000,3,1.in,0.643236,0.93561,0.907366,48
test,uniform,100000000,3,1.in,0.523177,0.579096,0.553982,96
test,uniform,500000000,3,1.in,134.797,184.586,184.785,1
test,uniform,500000000,3,1.in,35.2968,48.5686,49.0615,4
test,uniform,500000000,3,1.in,18.1636,25.0399,25.3774,8
test,uniform,500000000,3,1.in,9.17517,12.6268,12.7013,16
test,uniform,500000000,3,1.in,7.45493,10.4612,10.0283,24
test,uniform,500000000,3,1.in,3.87033,5.39072,5.29489,48
test,uniform,500000000,3,1.in,2.44132,3.37729,3.31968,96
