solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum,rangeCountTime,rangeQueryTime
test,ss_varden,10000000,2,1.in,0.03833,0.048692,0.038942,0.520913,38.6416,61.1317,1.10127,-1
test,ss_varden,10000000,2,2.in,0.0373387,0.0532733,0.0396193,0.510003,38.5886,61.0185,0.522287,-1
test,ss_varden,50000000,2,1.in,0.155555,0.205747,0.182363,2.55325,45.2733,65.0724,3.04653,-1
test,ss_varden,50000000,2,2.in,0.155116,0.207278,0.177638,2.55182,45.2021,65.002,3.95415,-1
test,ss_varden,100000000,2,1.in,0.351639,0.404807,0.346856,5.10205,47.381,65.9552,9.42531,-1
test,ss_varden,100000000,2,2.in,0.35057,0.420953,0.355163,5.08994,47.1272,65.7564,13.001,-1
test,ss_varden,500000000,2,1.in,1.93052,2.6349,2.46909,25.7834,51.6239,68.1423,44.4129,-1
test,ss_varden,500000000,2,2.in,1.78652,2.52913,2.38736,25.8582,51.9518,68.5368,71.4755,-1
test,uniform,10000000,2,1.in,0.034679,0.0482353,0.0447927,0.50528,39.365,61.1775,0.752333,-1
test,uniform,10000000,2,2.in,0.0407177,0.049984,0.043969,0.502988,38.8336,60.7018,0.768993,-1
test,uniform,50000000,2,1.in,0.144345,0.212287,0.186074,2.55607,44.726,64.6207,4.37756,-1
test,uniform,50000000,2,2.in,0.14193,0.213056,0.187728,2.55692,44.76,64.6716,4.97278,-1
test,uniform,100000000,2,1.in,0.303412,0.407414,0.375204,5.0732,46.6184,65.2298,9.72436,-1
test,uniform,100000000,2,2.in,0.302185,0.411406,0.363444,5.04921,46.7561,65.3371,10.4042,-1
test,uniform,500000000,2,1.in,1.68014,2.21718,2.19837,25.6822,51.3503,67.6151,48.8517,-1
test,uniform,500000000,2,2.in,1.77965,2.45161,2.30708,25.7531,51.2939,67.6005,56.8244,-1
zdtree,ss_varden,10000000,2,1.in,0.0410233,0.0529573,0.0544073,0.98029,-1,-1,3.16683,-1
zdtree,ss_varden,10000000,2,2.in,0.0405317,0.056243,0.055617,0.925764,-1,-1,1.54857,-1
zdtree,ss_varden,50000000,2,1.in,0.205582,0.289847,0.296731,4.24549,-1,-1,9.55767,-1
zdtree,ss_varden,50000000,2,2.in,0.206659,0.286134,0.30079,4.24396,-1,-1,13.4262,-1
zdtree,ss_varden,100000000,2,1.in,0.411987,0.568135,0.584574,8.47346,-1,-1,28.1452,-1
zdtree,ss_varden,100000000,2,2.in,0.413193,0.566185,0.596474,8.52563,-1,-1,37.4262,-1
zdtree,ss_varden,500000000,2,1.in,2.10576,3.06724,3.20409,42.4274,-1,-1,122.01,-1
zdtree,ss_varden,500000000,2,2.in,2.09878,3.12763,3.24435,42.3344,-1,-1,211.847,-1
zdtree,uniform,10000000,2,1.in,0.0422473,0.0554447,0.064226,0.860822,-1,-1,2.6268,-1
zdtree,uniform,10000000,2,2.in,0.041814,0.05804,0.0614123,0.86306,-1,-1,2.82797,-1
zdtree,uniform,50000000,2,1.in,0.219049,0.297389,0.320269,4.34323,-1,-1,9.72513,-1
zdtree,uniform,50000000,2,2.in,0.221778,0.305421,0.308814,4.34658,-1,-1,10.0334,-1
zdtree,uniform,100000000,2,1.in,0.436195,0.614133,0.611289,8.65902,-1,-1,19.9852,-1
zdtree,uniform,100000000,2,2.in,0.435026,0.605113,0.635462,8.64378,-1,-1,23.7792,-1
zdtree,uniform,500000000,2,1.in,2.22254,3.25318,3.25565,43.3931,-1,-1,109.693,-1
zdtree,uniform,500000000,2,2.in,2.22006,3.26777,3.29332,43.3918,-1,-1,121.129,-1
cgal,ss_varden,10000000,2,1.in,5.17392,12.9025,3.29479,1.99002,-1,-1,102.089,102.246
cgal,ss_varden,10000000,2,2.in,4.6599,13.6238,3.43206,1.83979,-1,-1,201.533,201.402
