"","solver","benchType","nodes","avg"
"1","test","ss_varden",10000000,0.03654685
"2","zdtree","ss_varden",10000000,0.0501277
"3","test_one_core","ss_varden",10000000,1.434545
"4","cgal","ss_varden",10000000,2.912675
"5","test","ss_varden",50000000,0.209901
"6","zdtree","ss_varden",50000000,0.2486215
"7","test_one_core","ss_varden",50000000,8.961095
"8","cgal","ss_varden",50000000,16.5595
"9","test","ss_varden",100000000,0.396161
"10","zdtree","ss_varden",100000000,0.497896
"11","test_one_core","ss_varden",100000000,17.0957
"12","cgal","ss_varden",100000000,30.97625
"13","test","ss_varden",500000000,1.98547
"14","zdtree","ss_varden",500000000,2.517515
"15","cgal","ss_varden",500000000,161.8915
"16","test","uniform",10000000,0.03149735
"17","zdtree","uniform",10000000,0.05518
"18","test_one_core","uniform",10000000,1.482605
"19","zdtree_one_core","uniform",10000000,2.99008
"20","cgal","uniform",10000000,7.664505
"21","test","uniform",50000000,0.1903985
"22","zdtree","uniform",50000000,0.268515
"23","test_one_core","uniform",50000000,8.983505
"24","zdtree_one_core","uniform",50000000,15.98245
"25","cgal","uniform",50000000,38.02125
"26","test","uniform",100000000,0.3564155
"27","zdtree","uniform",100000000,0.5353975
"28","zdtree_one_core","uniform",100000000,34.66915
"29","cgal","uniform",100000000,87.43345
"30","test","uniform",500000000,1.640495
"31","zdtree","uniform",500000000,2.701
"32","test_one_core","uniform",500000000,92.6284
"33","cgal","uniform",500000000,467.996
