"","solver","benchType","nodes","avg"
"1","test","ss_varden",10000000,8.4e-08
"2","cgal","ss_varden",10000000,1.35e-07
"3","zdtree","ss_varden",10000000,2.05e-07
"4","test_one_core","ss_varden",10000000,7.207e-06
"5","test","ss_varden",50000000,8.4e-08
"6","cgal","ss_varden",50000000,1.37e-07
"7","zdtree","ss_varden",50000000,1.53e-07
"8","test_one_core","ss_varden",50000000,7.68e-06
"9","test_one_core","ss_varden",100000000,-1e-08
"10","test","ss_varden",100000000,8.4e-08
"11","cgal","ss_varden",100000000,1.39e-07
"12","zdtree","ss_varden",100000000,1.52e-07
"13","test","ss_varden",500000000,8.5e-08
"14","cgal","ss_varden",500000000,1.46e-07
"15","zdtree","ss_varden",500000000,1.59e-07
"16","zdtree","uniform",10000000,1.8e-07
"17","test","uniform",10000000,2.03e-07
"18","cgal","uniform",10000000,6.44e-07
"19","test_one_core","uniform",10000000,1.5091e-05
"20","zdtree_one_core","uniform",10000000,1.5191e-05
"21","zdtree","uniform",50000000,1.73e-07
"22","test","uniform",50000000,2.39e-07
"23","cgal","uniform",50000000,7.02e-07
"24","zdtree_one_core","uniform",50000000,1.4754e-05
"25","test_one_core","uniform",50000000,1.7312e-05
"26","zdtree","uniform",100000000,1.89e-07
"27","test","uniform",100000000,2.52e-07
"28","cgal","uniform",100000000,7.58e-07
"29","zdtree_one_core","uniform",100000000,7.84e-06
"30","test_one_core","uniform",500000000,-2e-09
"31","zdtree","uniform",500000000,1.84e-07
"32","test","uniform",500000000,2.43e-07
"33","cgal","uniform",500000000,8.24e-07
