solver,benchType,nodes,dims,file,buildTime,queryTime,wrapSize
my_kd_proto,craft_var_dim,100000,2,0.in,0.113679,2.69968,1
my_kd_proto,craft_var_dim,100000,2,1.in,0.099276,2.67843,1
my_kd_proto,craft_var_dim,100000,2,2.in,0.096931,2.70237,1
my_kd_proto,craft_var_dim,100000,2,3.in,0.107819,2.68683,1
my_kd_proto,craft_var_dim,100000,2,4.in,0.099832,2.68297,1
my_kd_proto,craft_var_dim,100000,2,5.in,0.104418,2.69095,1
my_kd_proto,craft_var_dim,100000,2,6.in,0.097273,2.70003,1
my_kd_proto,craft_var_dim,100000,2,7.in,0.098495,2.68373,1
my_kd_proto,craft_var_dim,100000,2,8.in,0.097614,2.69151,1
my_kd_proto,craft_var_dim,100000,2,9.in,0.109203,2.68447,1
my_kd_proto,craft_var_dim,100000,3,0.in,0.131633,4.73991,1
my_kd_proto,craft_var_dim,100000,3,1.in,0.120167,4.71739,1
my_kd_proto,craft_var_dim,100000,3,2.in,0.121228,4.72224,1
my_kd_proto,craft_var_dim,100000,3,3.in,0.121584,4.72568,1
my_kd_proto,craft_var_dim,100000,3,4.in,0.132795,4.71774,1
my_kd_proto,craft_var_dim,100000,3,5.in,0.135272,4.73323,1
my_kd_proto,craft_var_dim,100000,3,6.in,0.134682,4.71933,1
my_kd_proto,craft_var_dim,100000,3,7.in,0.131289,4.79444,1
my_kd_proto,craft_var_dim,100000,3,8.in,0.129319,4.73213,1
my_kd_proto,craft_var_dim,100000,3,9.in,0.123285,4.73649,1
my_kd_proto,craft_var_dim,100000,5,0.in,0.178796,15.4232,1
my_kd_proto,craft_var_dim,100000,5,1.in,0.17622,15.4271,1
my_kd_proto,craft_var_dim,100000,5,2.in,0.176973,15.4146,1
my_kd_proto,craft_var_dim,100000,5,3.in,0.176,15.4212,1
my_kd_proto,craft_var_dim,100000,5,4.in,0.165547,15.5363,1
my_kd_proto,craft_var_dim,100000,5,5.in,0.166722,15.4148,1
my_kd_proto,craft_var_dim,100000,5,6.in,0.170747,15.4902,1
my_kd_proto,craft_var_dim,100000,5,7.in,0.171952,15.4534,1
my_kd_proto,craft_var_dim,100000,5,8.in,0.174628,15.4138,1
my_kd_proto,craft_var_dim,100000,5,9.in,0.174874,15.4693,1
