solver,benchType,nodes,dims,file,buildTime,queryTime,wrapSize
bounded_heap,craft_var_dim,100000,2,0.in,0.025488,0.443254,16
bounded_heap,craft_var_dim,100000,2,1.in,0.020941,0.448253,16
bounded_heap,craft_var_dim,100000,2,2.in,0.02243,0.4438,16
bounded_heap,craft_var_dim,100000,3,0.in,0.020936,0.881829,16
bounded_heap,craft_var_dim,100000,3,1.in,0.020952,0.87743,16
bounded_heap,craft_var_dim,100000,3,2.in,0.020802,0.874278,16
bounded_heap,craft_var_dim,100000,5,0.in,0.021045,3.25627,16
bounded_heap,craft_var_dim,100000,5,1.in,0.021504,3.25422,16
bounded_heap,craft_var_dim,100000,5,2.in,0.021519,3.26125,16
bounded_heap,craft_var_dim,100000,7,0.in,0.02151,13.1576,16
bounded_heap,craft_var_dim,100000,7,1.in,0.021068,13.2734,16
bounded_heap,craft_var_dim,100000,7,2.in,0.021655,13.1898,16
bounded_heap,craft_var_dim,100000,9,0.in,0.021823,53.998,16
bounded_heap,craft_var_dim,100000,9,1.in,0.021835,53.9472,16
bounded_heap,craft_var_dim,100000,9,2.in,0.021185,53.9912,16
bounded_heap,craft_var_dim,100000,10,0.in,0.0231,77.3406,16
bounded_heap,craft_var_dim,100000,10,1.in,0.022113,74.0192,16
bounded_heap,craft_var_dim,100000,10,2.in,0.022463,77.3683,16
bounded_heap,craft_var_dim,100000,12,0.in,0.021106,109.56,16
bounded_heap,craft_var_dim,100000,12,1.in,0.022073,109.323,16
bounded_heap,craft_var_dim,100000,12,2.in,0.021727,109.148,16
bounded_heap,craft_var_dim,100000,15,0.in,0.021965,129.509,16
bounded_heap,craft_var_dim,100000,15,1.in,0.021689,129.53,16
bounded_heap,craft_var_dim,100000,15,2.in,0.024959,131.068,16
bounded_heap,craft_var_dim,100000,18,0.in,0.021647,147.919,16
bounded_heap,craft_var_dim,100000,18,1.in,0.023877,147.745,16
bounded_heap,craft_var_dim,100000,18,2.in,0.022729,147.887,16
bounded_heap,craft_var_dim,100000,20,0.in,0.023407,162.952,16
bounded_heap,craft_var_dim,100000,20,1.in,0.023986,163.91,16
bounded_heap,craft_var_dim,100000,20,2.in,0.02339,163.025,16
bounded_heap,craft_var_dim,100000,25,0.in,0.022421,186.654,16
bounded_heap,craft_var_dim,100000,25,1.in,0.024291,185.451,16
bounded_heap,craft_var_dim,100000,25,2.in,0.023164,186.15,16
bounded_heap,craft_var_node,10000,5,0.in,0.002206,0.202355,16
bounded_heap,craft_var_node,10000,5,1.in,0.00188,0.200473,16
bounded_heap,craft_var_node,10000,5,2.in,0.001963,0.202388,16
bounded_heap,craft_var_node,50000,5,0.in,0.010744,1.47425,16
bounded_heap,craft_var_node,50000,5,1.in,0.009664,1.46205,16
bounded_heap,craft_var_node,50000,5,2.in,0.009574,1.46609,16
bounded_heap,craft_var_node,100000,5,0.in,0.021732,3.22375,16
bounded_heap,craft_var_node,100000,5,1.in,0.021854,3.21323,16
bounded_heap,craft_var_node,100000,5,2.in,0.02141,3.21684,16
bounded_heap,craft_var_node,500000,5,0.in,0.136686,16.9842,16
bounded_heap,craft_var_node,500000,5,1.in,0.135428,16.9495,16
bounded_heap,craft_var_node,500000,5,2.in,0.135592,16.9688,16
bounded_heap,craft_var_node,800000,5,0.in,0.23991,30.1466,16
bounded_heap,craft_var_node,800000,5,1.in,0.249437,30.5378,16
bounded_heap,craft_var_node,800000,5,2.in,0.246801,30.4592,16
bounded_heap,craft_var_node,1000000,5,0.in,0.286114,37.6668,16
bounded_heap,craft_var_node,1000000,5,1.in,0.288087,38.1744,16
bounded_heap,craft_var_node,1000000,5,2.in,0.289675,37.6652,16
bounded_heap,craft_var_node,2000000,5,0.in,0.606154,85.4584,16
bounded_heap,craft_var_node,2000000,5,1.in,0.636657,85.3632,16
bounded_heap,craft_var_node,2000000,5,2.in,0.633751,85.4362,16
