solver,benchType,nodes,dims,file,buildTime,queryTime,wrapSize
kArray,craft_var_dim,100000,2,0.in,0.02445,1.92031,16
kArray,craft_var_dim,100000,2,1.in,0.023214,1.91813,16
kArray,craft_var_dim,100000,2,2.in,0.022743,1.91952,16
kArray,craft_var_dim,100000,3,0.in,0.023285,4.1111,16
kArray,craft_var_dim,100000,3,1.in,0.023811,4.11429,16
kArray,craft_var_dim,100000,3,2.in,0.023306,4.0625,16
kArray,craft_var_dim,100000,5,0.in,0.022909,18.3738,16
kArray,craft_var_dim,100000,5,1.in,0.023429,18.3291,16
kArray,craft_var_dim,100000,5,2.in,0.022966,18.2945,16
kArray,craft_var_dim,100000,7,0.in,0.023259,56.6945,16
kArray,craft_var_dim,100000,7,1.in,0.022117,56.3768,16
kArray,craft_var_dim,100000,7,2.in,0.02233,56.2561,16
kArray,craft_var_dim,100000,9,0.in,0.023415,231.17,16
kArray,craft_var_dim,100000,9,1.in,0.025667,229.077,16
kArray,craft_var_dim,100000,9,2.in,0.021957,230.267,16
kArray,craft_var_dim,100000,10,0.in,0.024985,325.397,16
kArray,craft_var_dim,100000,10,1.in,0.024455,323.704,16
kArray,craft_var_dim,100000,10,2.in,0.023239,331.68,16
kArray,craft_var_dim,100000,12,0.in,0.025173,448.085,16
kArray,craft_var_dim,100000,12,1.in,0.025144,427.248,16
kArray,craft_var_dim,100000,12,2.in,0.024054,438.483,16
kArray,craft_var_dim,100000,15,0.in,0.024099,455.909,16
kArray,craft_var_dim,100000,15,1.in,0.024023,467.225,16
kArray,craft_var_dim,100000,15,2.in,0.025178,477.061,16
kArray,craft_var_dim,100000,18,0.in,0.025839,467.545,16
kArray,craft_var_dim,100000,18,1.in,0.022559,456.654,16
kArray,craft_var_dim,100000,18,2.in,0.025439,457.201,16
kArray,craft_var_dim,100000,20,0.in,0.024555,467.263,16
kArray,craft_var_dim,100000,20,1.in,0.023147,467.403,16
kArray,craft_var_dim,100000,20,2.in,0.02533,467.357,16
kArray,craft_var_dim,100000,25,0.in,0.02478,489.565,16
kArray,craft_var_dim,100000,25,1.in,0.024956,490.716,16
kArray,craft_var_dim,100000,25,2.in,0.02445,486.31,16
kArray,craft_var_node,10000,5,0.in,0.002455,1.14873,16
kArray,craft_var_node,10000,5,1.in,0.002079,1.12001,16
kArray,craft_var_node,10000,5,2.in,0.001894,1.12855,16
kArray,craft_var_node,50000,5,0.in,0.011507,8.21534,16
kArray,craft_var_node,50000,5,1.in,0.010488,8.19387,16
kArray,craft_var_node,50000,5,2.in,0.011597,8.2148,16
kArray,craft_var_node,100000,5,0.in,0.024708,18.4108,16
kArray,craft_var_node,100000,5,1.in,0.023438,18.3807,16
kArray,craft_var_node,100000,5,2.in,0.024162,18.3604,16
kArray,craft_var_node,500000,5,0.in,0.140764,91.4028,16
kArray,craft_var_node,500000,5,1.in,0.141033,91.3829,16
kArray,craft_var_node,500000,5,2.in,0.138874,91.5051,16
kArray,craft_var_node,800000,5,0.in,0.254715,171.85,16
kArray,craft_var_node,800000,5,1.in,0.259309,171.387,16
kArray,craft_var_node,800000,5,2.in,0.255611,171.261,16
kArray,craft_var_node,1000000,5,0.in,0.299541,206.756,16
kArray,craft_var_node,1000000,5,1.in,0.296092,206.052,16
kArray,craft_var_node,1000000,5,2.in,0.303469,207.667,16
kArray,craft_var_node,2000000,5,0.in,0.633007,464.122,16
kArray,craft_var_node,2000000,5,1.in,0.682449,464.414,16
kArray,craft_var_node,2000000,5,2.in,0.667348,464.989,16
