solver,benchType,nodes,dims,file,buildTime,queryTime,wrapSize
cgal,craft_var_dim,100000,2,0.in,0.07211,2.27498,-1
cgal,craft_var_dim,100000,2,1.in,0.06393,2.37138,-1
cgal,craft_var_dim,100000,2,2.in,0.05722,2.33389,-1
cgal,craft_var_dim,100000,3,0.in,0.08204,3.52014,-1
cgal,craft_var_dim,100000,3,1.in,0.08656,3.52925,-1
cgal,craft_var_dim,100000,3,2.in,0.08898,3.55817,-1
cgal,craft_var_dim,100000,5,0.in,0.13054,8.23947,-1
cgal,craft_var_dim,100000,5,1.in,0.14610,8.28393,-1
cgal,craft_var_dim,100000,5,2.in,0.14264,8.25668,-1
cgal,craft_var_dim,100000,7,0.in,0.17782,17.75358,-1
cgal,craft_var_dim,100000,7,1.in,0.18349,17.36172,-1
cgal,craft_var_dim,100000,7,2.in,0.19071,18.30838,-1
cgal,craft_var_dim,100000,9,0.in,0.23335,45.35226,-1
cgal,craft_var_dim,100000,9,1.in,0.23970,43.72151,-1
cgal,craft_var_dim,100000,9,2.in,0.22252,43.63702,-1
cgal,craft_var_dim,100000,10,0.in,0.25951,64.28715,-1
cgal,craft_var_dim,100000,10,1.in,0.26711,64.91275,-1
cgal,craft_var_dim,100000,10,2.in,0.25549,66.30940,-1
cgal,craft_var_dim,100000,12,0.in,0.30011,152.00088,-1
cgal,craft_var_dim,100000,12,1.in,0.30343,147.43065,-1
cgal,craft_var_dim,100000,12,2.in,0.32699,154.71577,-1
cgal,craft_var_dim,100000,15,0.in,0.36009,366.98631,-1
cgal,craft_var_dim,100000,15,1.in,0.37143,349.81850,-1
cgal,craft_var_dim,100000,15,2.in,0.36811,346.76652,-1
cgal,craft_var_node,10000,5,0.in,0.02302,0.46771,-1
cgal,craft_var_node,10000,5,1.in,0.01182,0.43732,-1
cgal,craft_var_node,10000,5,2.in,0.02060,0.44594,-1
cgal,craft_var_node,10000,5,3.in,0.01991,0.44917,-1
cgal,craft_var_node,10000,5,4.in,0.01294,0.43962,-1
cgal,craft_var_node,10000,5,5.in,0.01171,0.44255,-1
cgal,craft_var_node,10000,5,6.in,0.01357,0.43775,-1
cgal,craft_var_node,10000,5,7.in,0.01290,0.44122,-1
cgal,craft_var_node,10000,5,8.in,0.01311,0.43813,-1
cgal,craft_var_node,10000,5,9.in,0.01481,0.44518,-1
cgal,craft_var_node,50000,5,0.in,0.07120,3.22452,-1
cgal,craft_var_node,50000,5,1.in,0.06961,3.21395,-1
cgal,craft_var_node,50000,5,2.in,0.06850,3.21468,-1
cgal,craft_var_node,50000,5,3.in,0.06280,3.21408,-1
cgal,craft_var_node,50000,5,4.in,0.06524,3.23375,-1
cgal,craft_var_node,50000,5,5.in,0.07888,3.20825,-1
cgal,craft_var_node,50000,5,6.in,0.07437,3.23222,-1
cgal,craft_var_node,50000,5,7.in,0.07311,3.21831,-1
cgal,craft_var_node,50000,5,8.in,0.06788,3.20856,-1
cgal,craft_var_node,50000,5,9.in,0.06316,3.20008,-1
cgal,craft_var_node,100000,5,0.in,0.14684,6.75314,-1
cgal,craft_var_node,100000,5,1.in,0.13100,6.79862,-1
cgal,craft_var_node,100000,5,2.in,0.14096,6.79254,-1
cgal,craft_var_node,100000,5,3.in,0.13587,6.77943,-1
cgal,craft_var_node,100000,5,4.in,0.14015,6.90196,-1
cgal,craft_var_node,100000,5,5.in,0.14111,6.81121,-1
cgal,craft_var_node,100000,5,6.in,0.14335,6.80327,-1
cgal,craft_var_node,100000,5,7.in,0.14062,6.77622,-1
cgal,craft_var_node,100000,5,8.in,0.13363,6.75137,-1
cgal,craft_var_node,100000,5,9.in,0.13327,6.79752,-1
cgal,craft_var_node,500000,5,0.in,0.69760,79.28355,-1
cgal,craft_var_node,500000,5,1.in,0.69376,80.28873,-1
cgal,craft_var_node,500000,5,2.in,0.69171,79.71035,-1
cgal,craft_var_node,500000,5,3.in,0.67756,79.50520,-1
cgal,craft_var_node,500000,5,4.in,0.69144,79.40869,-1
cgal,craft_var_node,500000,5,5.in,0.69351,79.53848,-1
cgal,craft_var_node,500000,5,6.in,0.68326,79.37218,-1
cgal,craft_var_node,500000,5,7.in,0.69383,79.58049,-1
cgal,craft_var_node,500000,5,8.in,0.69767,79.61095,-1
cgal,craft_var_node,500000,5,9.in,0.70562,78.96745,-1
cgal,craft_var_node,800000,5,0.in,1.13106,153.51591,-1
cgal,craft_var_node,800000,5,1.in,1.10928,152.24781,-1
cgal,craft_var_node,800000,5,2.in,1.12225,151.30609,-1
cgal,craft_var_node,800000,5,3.in,1.11943,152.19118,-1
cgal,craft_var_node,800000,5,4.in,1.10834,153.35145,-1
cgal,craft_var_node,800000,5,5.in,1.13631,151.97976,-1
cgal,craft_var_node,800000,5,6.in,1.10478,152.06447,-1
cgal,craft_var_node,800000,5,7.in,1.16069,152.51354,-1
cgal,craft_var_node,800000,5,8.in,1.11345,152.38377,-1
cgal,craft_var_node,800000,5,9.in,1.10757,152.97692,-1
cgal,craft_var_node,1000000,5,0.in,1.41158,200.58683,-1
cgal,craft_var_node,1000000,5,1.in,1.39346,201.30907,-1
cgal,craft_var_node,1000000,5,2.in,1.40751,200.47564,-1
cgal,craft_var_node,2000000,5,0.in,2.83447,451.30038,-1
cgal,craft_var_node,2000000,5,1.in,2.80308,450.33254,-1
cgal,craft_var_node,2000000,5,2.in,2.82905,456.88428,-1
