solver,benchType,nodes,dims,build,depth
test,ss_varden,100000000,2,0.41435,22.1606
zdtree,ss_varden,100000000,2,0.50597,32.0
cgal,ss_varden,100000000,2,40.1246,59.0
test,uniform,100000000,2,0.40095,22.1635
zdtree,uniform,100000000,2,0.52559,24.0
cgal,uniform,100000000,2,98.7046,27.0
test,ss_varden,100000000,3,0.33546,22.17565
zdtree,ss_varden,100000000,3,0.5414,34.5
cgal,ss_varden,100000000,3,33.6365,28.0
LogTree,ss_varden,100000000,3,-1.0,-1.0
BhlTree,ss_varden,100000000,3,-1.0,-1.0
test,uniform,100000000,3,0.31475,22.1754
zdtree,uniform,100000000,3,0.56225,24.0
cgal,uniform,100000000,3,99.7102,27.0
LogTree,uniform,100000000,3,-1.0,-1.0
BhlTree,uniform,100000000,3,-1.0,-1.0
