solver,benchType,nodes,dims,file,buildTime,queryTime,aveDeep,aveQueryVisNodeNum
cgal,ss_varden,10000000,3,1.in,5.25223,1.28571,-1,-1
cgal,ss_varden,10000000,3,2.in,5.47483,1.27137,-1,-1
cgal,ss_varden,50000000,3,1.in,29.111,6.49597,-1,-1
cgal,ss_varden,50000000,3,2.in,27.2505,6.62782,-1,-1
cgal,ss_varden,100000000,3,1.in,55.5609,13.0218,-1,-1
cgal,ss_varden,100000000,3,2.in,52.4805,13.1341,-1,-1
cgal,ss_varden,500000000,3,1.in,297.707,73.2102,-1,-1
cgal,ss_varden,500000000,3,2.in,254.747,65.971,-1,-1
cgal,uniform,10000000,3,10000001_3.in,7.71051,10.4108,16,100
cgal,uniform,10000000,3,10000002_3.in,7.54981,10.4911,16,100
cgal,uniform,50000000,3,50000001_3.in,43.5973,60.5071,16,100
cgal,uniform,50000000,3,50000002_3.in,43.1972,61.1311,16,100
cgal,uniform,100000000,3,100000001_3.in,91.2522,138.292,16,100
cgal,uniform,100000000,3,100000002_3.in,89.5137,136.449,16,100
cgal,uniform,100000000,3,100000003_3.in,91.4958,138.561,16,100
cgal,uniform,500000000,3,500000001_3.in,614.608,778.522,16,100
cgal,uniform,500000000,3,500000002_3.in,641.352,762.715,16,100
cgal,uniform,500000000,3,500000003_3.in,537.827,815.76,16,100
