solver,benchmark,node,dim,batchSize,batchTime
test,uniform,1000000000,3,89,3.410000e-06
test,uniform,1000000000,3,44,1.300000e-06
test,uniform,1000000000,3,32,1.000000e-06
test,uniform,1000000000,3,12,1.000000e-06
test,uniform,1000000000,3,45,2.050000e-06
test,uniform,1000000000,3,30,1.580000e-06
test,uniform,1000000000,3,15,2.130000e-06
test,uniform,1000000000,3,18,2.050000e-06
test,uniform,1000000000,3,164,2.450000e-06
test,uniform,1000000000,3,70,1.020000e-06
test,uniform,1000000000,3,45,1.090000e-06
test,uniform,1000000000,3,37,1.010000e-06
test,uniform,1000000000,3,8,1.010000e-06
test,uniform,1000000000,3,25,3.100000e-07
test,uniform,1000000000,3,94,2.000000e-06
test,uniform,1000000000,3,82,2.030000e-06
test,uniform,1000000000,3,56,2.080000e-06
test,uniform,1000000000,3,14,2.100000e-07
test,uniform,1000000000,3,42,1.010000e-06
test,uniform,1000000000,3,39,1.000000e-06
test,uniform,1000000000,3,3,2.000000e-08
test,uniform,1000000000,3,26,1.070000e-06
test,uniform,1000000000,3,12,7.700000e-07
test,uniform,1000000000,3,112,1.940000e-06
test,uniform,1000000000,3,1,1.000000e-08
test,uniform,1000000000,3,111,2.010000e-06
test,uniform,1000000000,3,95,1.530000e-06
test,uniform,1000000000,3,13,1.120000e-06
test,uniform,1000000000,3,82,2.010000e-06
test,uniform,1000000000,3,17,1.010000e-06
test,uniform,1000000000,3,65,1.280000e-06
test,uniform,1000000000,3,51,7.400000e-07
test,uniform,1000000000,3,49,1.070000e-06
test,uniform,1000000000,3,34,1.010000e-06
test,uniform,1000000000,3,15,1.010000e-06
test,uniform,1000000000,3,2,1.000000e-08
test,uniform,1000000000,3,14,5.400000e-07
test,uniform,1000000000,3,16,1.860000e-06
test,uniform,1000000000,3,73,2.220000e-06
test,uniform,1000000000,3,30,1.010000e-06
test,uniform,1000000000,3,43,1.030000e-06
test,uniform,1000000000,3,29,1.030000e-06
test,uniform,1000000000,3,14,1.010000e-06
test,uniform,1000000000,3,8,1.010000e-06
test,uniform,1000000000,3,55,2.160000e-06
test,uniform,1000000000,3,2,1.000000e-08
test,uniform,1000000000,3,53,1.730000e-06
test,uniform,1000000000,3,17,1.020000e-06
test,uniform,1000000000,3,36,2.000000e-06
test,uniform,1000000000,3,43,3.300000e-06
test,uniform,1000000000,3,9,6.000000e-08
test,uniform,1000000000,3,34,2.010000e-06
test,uniform,1000000000,3,164,2.110000e-06
test,uniform,1000000000,3,106,1.160000e-06
test,uniform,1000000000,3,6,1.030000e-06
test,uniform,1000000000,3,100,1.030000e-06
test,uniform,1000000000,3,9,1.000000e-08
test,uniform,1000000000,3,91,1.020000e-06
test,uniform,1000000000,3,84,1.020000e-06
test,uniform,1000000000,3,80,1.100000e-06
test,uniform,1000000000,3,50,1.020000e-06
test,uniform,1000000000,3,28,1.010000e-06
test,uniform,1000000000,3,22,1.030000e-06
test,uniform,1000000000,3,30,1.050000e-06
test,uniform,1000000000,3,4,8.000000e-08
test,uniform,1000000000,3,7,1.020000e-06
test,uniform,1000000000,3,58,1.090000e-06
test,uniform,1000000000,3,39,1.000000e-06
test,uniform,1000000000,3,19,5.000000e-08
test,uniform,1000000000,3,25,6.000000e-08
test,uniform,1000000000,3,31,9.240000e-06
test,uniform,1000000000,3,95,4.110000e-06
test,uniform,1000000000,3,91,4.080000e-06
test,uniform,1000000000,3,88,3.000000e-06
test,uniform,1000000000,3,6,1.050000e-06
test,uniform,1000000000,3,82,3.080000e-06
test,uniform,1000000000,3,70,3.010000e-06
test,uniform,1000000000,3,56,2.010000e-06
test,uniform,1000000000,3,18,1.000000e-06
test,uniform,1000000000,3,38,2.140000e-06
test,uniform,1000000000,3,14,5.000000e-08
test,uniform,1000000000,3,12,1.010000e-06
test,uniform,1000000000,3,3,0.000000e+00
test,uniform,1000000000,3,4,1.000000e-08
test,uniform,1000000000,3,171,6.350000e-06
test,uniform,1000000000,3,42,6.070000e-06
test,uniform,1000000000,3,4,2.000000e-08
test,uniform,1000000000,3,38,6.080000e-06
test,uniform,1000000000,3,129,5.410000e-06
test,uniform,1000000000,3,29,1.010000e-06
test,uniform,1000000000,3,100,4.140000e-06
test,uniform,1000000000,3,80,3.030000e-06
test,uniform,1000000000,3,51,2.020000e-06
test,uniform,1000000000,3,50,2.010000e-06
test,uniform,1000000000,3,50,2.030000e-06
test,uniform,1000000000,3,9,1.000000e-06
test,uniform,1000000000,3,41,2.010000e-06
test,uniform,1000000000,3,26,1.050000e-06
test,uniform,1000000000,3,15,1.050000e-06
test,uniform,1000000000,3,1,0.000000e+00
test,uniform,1000000000,3,22973,2.798800e-04
test,uniform,1000000000,3,21803,1.967000e-04
test,uniform,1000000000,3,751,4.190000e-06
test,uniform,1000000000,3,21052,1.933000e-04
test,uniform,1000000000,3,8838,6.742000e-05
test,uniform,1000000000,3,5323,7.132000e-05
test,uniform,1000000000,3,4417,5.539000e-05
test,uniform,1000000000,3,2350,2.298000e-05
test,uniform,1000000000,3,1764,2.226000e-05
test,uniform,1000000000,3,586,2.994000e-05
test,uniform,1000000000,3,2067,2.417000e-05
test,uniform,1000000000,3,1356,2.188000e-05
test,uniform,1000000000,3,711,3.188000e-05
test,uniform,1000000000,3,906,6.820000e-06
test,uniform,1000000000,3,3515,1.064800e-04
test,uniform,1000000000,3,2254,6.136000e-05
test,uniform,1000000000,3,2042,5.529000e-05
test,uniform,1000000000,3,1937,5.507000e-05
test,uniform,1000000000,3,1868,5.360000e-05
test,uniform,1000000000,3,992,4.362000e-05
test,uniform,1000000000,3,876,4.605000e-05
test,uniform,1000000000,3,212,8.360000e-06
test,uniform,1000000000,3,1261,4.330000e-05
test,uniform,1000000000,3,12214,2.045600e-04
test,uniform,1000000000,3,345,8.680000e-06
test,uniform,1000000000,3,11869,2.095000e-04
test,uniform,1000000000,3,11767,2.097200e-04
test,uniform,1000000000,3,9835,1.576800e-04
test,uniform,1000000000,3,562,4.490000e-06
test,uniform,1000000000,3,9273,1.413300e-04
test,uniform,1000000000,3,3920,3.944000e-05
test,uniform,1000000000,3,2258,2.255000e-05
test,uniform,1000000000,3,1946,1.869000e-05
test,uniform,1000000000,3,1555,1.758000e-05
test,uniform,1000000000,3,391,7.860000e-06
test,uniform,1000000000,3,312,5.610000e-06
test,uniform,1000000000,3,1662,1.567000e-05
test,uniform,1000000000,3,5353,5.766000e-05
test,uniform,1000000000,3,445,5.490000e-06
test,uniform,1000000000,3,4908,5.579000e-05
test,uniform,1000000000,3,1576,1.183000e-05
test,uniform,1000000000,3,3332,3.358000e-05
test,uniform,1000000000,3,880,6.240000e-06
test,uniform,1000000000,3,2452,2.322000e-05
test,uniform,1000000000,3,539,1.192000e-05
test,uniform,1000000000,3,1913,2.270000e-05
test,uniform,1000000000,3,1898,2.051000e-05
test,uniform,1000000000,3,346,4.190000e-06
test,uniform,1000000000,3,1552,1.705000e-05
test,uniform,1000000000,3,1932,3.699000e-05
test,uniform,1000000000,3,451,4.390000e-06
test,uniform,1000000000,3,1481,2.509000e-05
test,uniform,1000000000,3,1170,2.638000e-05
test,uniform,1000000000,3,27723,2.784600e-04
test,uniform,1000000000,3,478,3.890000e-05
test,uniform,1000000000,3,27245,2.873300e-04
test,uniform,1000000000,3,25694,3.232700e-04
test,uniform,1000000000,3,22910,2.612000e-04
test,uniform,1000000000,3,5262,3.904000e-05
test,uniform,1000000000,3,557,1.975000e-05
test,uniform,1000000000,3,4705,4.402000e-05
test,uniform,1000000000,3,4357,3.746000e-05
test,uniform,1000000000,3,3326,3.421000e-05
test,uniform,1000000000,3,3238,3.217000e-05
test,uniform,1000000000,3,2057,2.370000e-05
test,uniform,1000000000,3,973,2.460000e-05
test,uniform,1000000000,3,1084,3.221000e-05
test,uniform,1000000000,3,1181,3.712000e-05
test,uniform,1000000000,3,1031,6.728000e-05
test,uniform,1000000000,3,348,4.450000e-06
test,uniform,1000000000,3,17648,2.366100e-04
test,uniform,1000000000,3,9545,7.340000e-05
test,uniform,1000000000,3,296,1.659000e-05
test,uniform,1000000000,3,9249,7.145000e-05
test,uniform,1000000000,3,7855,5.153000e-05
test,uniform,1000000000,3,7032,4.426000e-05
test,uniform,1000000000,3,6263,3.564000e-05
test,uniform,1000000000,3,1613,7.250000e-06
test,uniform,1000000000,3,4650,2.810000e-05
test,uniform,1000000000,3,3181,2.014000e-05
test,uniform,1000000000,3,1913,1.525000e-05
test,uniform,1000000000,3,714,9.420000e-06
test,uniform,1000000000,3,1199,1.297000e-05
test,uniform,1000000000,3,1268,1.008000e-05
test,uniform,1000000000,3,1469,1.345000e-05
test,uniform,1000000000,3,769,1.478000e-05
test,uniform,1000000000,3,823,6.550000e-06
test,uniform,1000000000,3,1394,8.520000e-06
test,uniform,1000000000,3,8103,7.038000e-05
test,uniform,1000000000,3,746,6.300000e-06
test,uniform,1000000000,3,7357,5.589000e-05
test,uniform,1000000000,3,6199,4.725000e-05
test,uniform,1000000000,3,5602,4.030000e-05
test,uniform,1000000000,3,2896,2.219000e-05
test,uniform,1000000000,3,2210,1.585000e-05
test,uniform,1000000000,3,1074,9.710000e-06
test,uniform,1000000000,3,1136,1.010000e-05
test,uniform,1000000000,3,686,8.030000e-06
test,uniform,1000000000,3,2706,2.189000e-05
test,uniform,1000000000,3,1740,1.233000e-05
test,uniform,1000000000,3,898453,3.151420e-03
test,uniform,1000000000,3,878748,2.836940e-03
test,uniform,1000000000,3,680487,2.064920e-03
test,uniform,1000000000,3,507911,2.059870e-03
test,uniform,1000000000,3,146285,1.155960e-03
test,uniform,1000000000,3,71543,6.945300e-04
test,uniform,1000000000,3,48570,7.290100e-04
test,uniform,1000000000,3,74742,7.872400e-04
test,uniform,1000000000,3,51663,6.503700e-04
test,uniform,1000000000,3,361626,2.120490e-03
test,uniform,1000000000,3,344094,2.197830e-03
test,uniform,1000000000,3,332558,2.486660e-03
test,uniform,1000000000,3,318132,2.389530e-03
test,uniform,1000000000,3,301599,2.250950e-03
test,uniform,1000000000,3,140432,1.275510e-03
test,uniform,1000000000,3,44459,6.432500e-04
test,uniform,1000000000,3,95973,1.037510e-03
test,uniform,1000000000,3,71944,9.012600e-04
test,uniform,1000000000,3,49440,6.607800e-04
test,uniform,1000000000,3,161167,1.843500e-03
test,uniform,1000000000,3,120288,1.560260e-03
test,uniform,1000000000,3,98644,1.316970e-03
test,uniform,1000000000,3,83395,1.167530e-03
test,uniform,1000000000,3,31629,5.811800e-04
test,uniform,1000000000,3,51766,8.455000e-04
test,uniform,1000000000,3,40879,5.963100e-04
test,uniform,1000000000,3,172576,2.194500e-03
test,uniform,1000000000,3,83645,9.852200e-04
test,uniform,1000000000,3,79452,9.381800e-04
test,uniform,1000000000,3,49938,7.773600e-04
test,uniform,1000000000,3,88931,9.848000e-04
test,uniform,1000000000,3,80143,8.908200e-04
test,uniform,1000000000,3,70984,7.840000e-04
test,uniform,1000000000,3,40779,6.172800e-04
test,uniform,1000000000,3,198261,1.635160e-03
test,uniform,1000000000,3,75937,7.216400e-04
test,uniform,1000000000,3,72699,6.854000e-04
test,uniform,1000000000,3,57395,5.501200e-04
test,uniform,1000000000,3,122324,1.167330e-03
test,uniform,1000000000,3,117730,1.117080e-03
test,uniform,1000000000,3,99188,9.439800e-04
test,uniform,1000000000,3,40124,4.377600e-04
test,uniform,1000000000,3,59064,6.599300e-04
test,uniform,1000000000,3,924421,5.825110e-03
test,uniform,1000000000,3,576792,3.991230e-03
test,uniform,1000000000,3,437484,3.036840e-03
test,uniform,1000000000,3,354584,2.804010e-03
test,uniform,1000000000,3,72174,8.628100e-04
test,uniform,1000000000,3,59834,6.725800e-04
test,uniform,1000000000,3,282410,2.557360e-03
test,uniform,1000000000,3,43529,4.878900e-04
test,uniform,1000000000,3,238881,2.267650e-03
test,uniform,1000000000,3,81157,1.257800e-03
test,uniform,1000000000,3,78025,1.225930e-03
test,uniform,1000000000,3,64663,1.029810e-03
test,uniform,1000000000,3,61382,1.013070e-03
test,uniform,1000000000,3,157724,1.914050e-03
test,uniform,1000000000,3,99380,1.228830e-03
test,uniform,1000000000,3,84411,1.042360e-03
test,uniform,1000000000,3,52988,7.248900e-04
test,uniform,1000000000,3,58344,7.933200e-04
test,uniform,1000000000,3,82900,1.003590e-03
test,uniform,1000000000,3,68498,7.913300e-04
test,uniform,1000000000,3,59852,7.431100e-04
test,uniform,1000000000,3,139308,1.211490e-03
test,uniform,1000000000,3,63273,7.189900e-04
test,uniform,1000000000,3,54281,7.781400e-04
test,uniform,1000000000,3,76035,9.780700e-04
test,uniform,1000000000,3,46582,4.532300e-04
test,uniform,1000000000,3,347629,3.438400e-03
test,uniform,1000000000,3,57797,7.020300e-04
test,uniform,1000000000,3,289832,2.785120e-03
test,uniform,1000000000,3,95428,1.044600e-03
test,uniform,1000000000,3,89729,9.830800e-04
test,uniform,1000000000,3,51796,6.787300e-04
test,uniform,1000000000,3,37933,5.425300e-04
