solver,benchType,nodes,dims,build,aveDepth,k=10,depth,visNum
test,ss_varden,100000000,2,0.449,22.109,0.054,22.109,52.0
cgal,ss_varden,100000000,2,40.907,59.0,0.116,59.0,99.5
test,uniform,100000000,2,0.433,22.165,0.102,22.165,52.0
cgal,uniform,100000000,2,99.336,27.0,0.543,27.0,101.0
test,ss_varden,100000000,3,0.342,22.088,0.085,22.088,83.5
cgal,ss_varden,100000000,3,34.618,29.0,0.146,29.0,169.0
test,uniform,100000000,3,0.318,22.158,0.224,22.158,99.0
cgal,uniform,100000000,3,99.227,27.0,0.991,27.0,196.0
test,ss_varden,100000000,5,0.538,22.099,0.129,22.099,125.0
cgal,ss_varden,100000000,5,38.778,27.5,0.247,27.5,268.5
test,uniform,100000000,5,0.477,22.17,1.404,22.17,397.0
cgal,uniform,100000000,5,102.196,27.0,3.991,27.0,792.0
test,ss_varden,100000001,7,0.736,22.101,0.151,22.101,129.5
cgal,ss_varden,100000000,7,40.094,28.0,0.208,28.0,298.0
test,uniform,100000000,7,0.66,22.167,6.014,22.167,1510.5
cgal,uniform,100000000,7,101.348,28.0,12.201,28.0,18446744072527.0
test,ss_varden,100000000,9,0.922,22.101,0.168,22.101,131.0
cgal,ss_varden,100000000,9,43.687,28.0,0.232,28.0,310.5
test,uniform,100000000,9,0.807,22.171,24.534,22.171,5089.5
cgal,uniform,100000000,9,120.767,27.5,46.204,27.5,2046.5
