build1	maxdepth1	averagedepth1	rc1	build2	maxdepth2	averagedepth2	rc2	build3	maxdepth3	averagedepth3	rc3
0 0.366471 25 22.1702 0.173243 0.340794 25 22.1721 0.462847 0.361909 25 22.1611 0.443095 
1 17.2637 24 22.1654 0.181053 16.1311 24 22.1296 0.496917 19.1622 24 22.1785 0.465915 
2 12.9537 24 22.1753 0.1904 10.5034 24 22.1313 0.496588 15.263 25 22.1638 0.469986 
3 9.51493 24 22.1759 0.186 8.70109 24 22.1233 0.493728 11.3001 24 22.1795 0.464888 
4 8.6411 24 22.1775 0.186588 6.54284 24 22.1487 0.48874 9.46852 24 22.1683 0.460678 
5 6.88716 24 22.1734 0.183795 5.27714 24 22.1624 0.483054 7.55403 24 22.1763 0.458979 
6 5.47849 25 22.1977 0.183143 4.30938 24 22.1735 0.487644 7.05447 25 22.176 0.461439 
10 4.05547 24 22.1923 0.186223 2.96702 25 22.2256 0.484637 4.53236 24 22.2098 0.457815 
20 2.12562 26 22.3903 0.186857 1.73976 28 22.5003 0.490552 2.98968 24 22.2207 0.457258 
30 1.74577 29 22.6019 0.184426 1.25396 32 23.0002 0.490263 1.819 29 22.9075 0.460198 
40 1.5928 35 23.4231 0.184351 0.905882 34 23.2499 0.489391 1.77233 35 23.877 0.468226 
45 1.489 41 24.5618 0.189777 0.798859 34 23.3177 0.485133 1.78463 46 27.7032 0.498776 
46 1.52551 43 25.2495 0.188549 0.801133 33 23.33 0.489703 2.00419 51 28.2208 0.509555 
47 1.65918 52 26.1363 0.189172 0.797743 33 23.347 0.487183 1.85765 55 30.2683 0.510985 
48 1.50925 51 27.5193 0.194776 0.783271 33 23.3572 0.484966 1.99507 60 30.6934 0.550786 
49 2.24085 124 66.0145 0.285192 0.787537 33 23.3581 0.482183 2.60032 122 57.6847 0.81064 
50 2.24755 124 66.0145 0.274413 0.767483 33 23.3581 0.4831 2.61181 122 57.6847 0.778591 
