solver,benchType,nodes,dims,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
test,ss_varden,100000000,2,0.05858,0.09882,0.14738,0.18796,0.23365,0.27074,0.31227,0.35101,0.37017,0.42433
zdtree,ss_varden,100000000,2,0.07206,0.13463,0.19384,0.27494,0.32339,0.36728,0.43958,0.50406,0.54758,0.60517
cgal,ss_varden,100000000,2,8.91358,8.51585,9.02506,8.38444,8.42892,8.51397,8.62694,8.74414,8.82555,8.86907
test,uniform,100000000,2,0.06802,0.11301,0.15671,0.19637,0.23755,0.27831,0.31234,0.35348,0.39932,0.43678
zdtree,uniform,100000000,2,0.13877,0.19221,0.23703,0.30134,0.35698,0.39955,0.47518,0.51949,0.56127,0.62498
cgal,uniform,100000000,2,13.23175,12.7688,13.13665,12.70945,12.7666,12.99535,12.8116,12.82825,13.15655,13.3042
test,ss_varden,100000000,3,0.12772,0.20445,0.27657,0.34392,0.44292,0.50479,0.58302,0.66112,0.71072,0.79187
zdtree,ss_varden,100000000,3,0.07065,0.1211,0.17768,0.25253,0.32568,0.37286,0.44371,0.50607,0.57114,0.6322
cgal,ss_varden,100000000,3,5.30657,4.9089,5.45407,4.80188,5.23687,5.70087,5.46138,5.86196,5.44058,5.91101
test,uniform,100000000,3,0.07287,0.11959,0.16787,0.21915,0.26042,0.30688,0.35179,0.39288,0.43853,0.48454
zdtree,uniform,100000000,3,0.15628,0.21098,0.2628,0.34462,0.38799,0.44966,0.50037,0.55835,0.62144,0.67651
cgal,uniform,100000000,3,13.2124,12.88585,13.1365,12.7305,13.0189,13.39825,12.94765,13.07575,13.5161,13.4111
