solver,benchType,nodes,dims,k=1,depth,visNum,k=10,depth,visNum,k=100,depth,visNum
test,ss_varden,100000000,2,0.48991,22.1606,23.0,1.08737,22.1606,29.0,5.15316,22.1606,52.0
zdtree,ss_varden,100000000,2,0.74702,32.0,55.0,1.63881,32.0,96.0,7.82272,32.0,360.0
cgal,ss_varden,100000000,2,1.33038,59.0,24.0,3.81713,59.0,37.0,19.0612,59.0,101.0
test,uniform,100000000,2,0.48183,22.1635,23.0,1.09327,22.1635,29.0,5.08738,22.1635,52.0
zdtree,uniform,100000000,2,0.76575,24.0,55.0,1.68118,24.0,95.0,7.87126,24.0,355.0
cgal,uniform,100000000,2,2.25231,27.0,24.0,8.09539,27.0,37.0,50.864,27.0,101.0
test,ss_varden,100000000,3,0.55657,22.17565,23.0,1.96711,22.17565,40.5,9.0186,22.17565,89.0
zdtree,ss_varden,100000000,3,1.96217,34.5,114.0,3.72607,34.5,226.5,14.96705,34.5,781.0
cgal,ss_varden,100000000,3,0.66268,28.0,24.0,2.04252,28.0,58.5,12.59505,28.0,177.5
test,uniform,100000000,3,0.55308,22.1754,23.0,2.08941,22.1754,43.0,9.65175,22.1754,98.5
zdtree,uniform,100000000,3,1.2975,24.0,86.0,3.16336,24.0,213.0,16.47125,24.0,893.0
cgal,uniform,100000000,3,2.34323,27.0,24.0,17.13045,27.0,62.0,89.0475,27.0,196.0
