solver,benchType,nodes,dims,file,build,insert,delete,knn,aveDeep,aveVisNode,rangeCount,rangeQuery,k=1,aveDeep,aveVisNode,k=10,aveDeep,aveVisNode,k=100,aveDeep,aveVisNode,RQ0.05,number,RQ0.2,number,RQ0.5,number,batch10,queryTime,aveDeep,aveVisNode,batch30,queryTime,aveDeep,aveVisNode,batch50,queryTime,aveDeep,aveVisNode,batch100,queryTime,aveDeep,aveVisNode
test,ss_varden,10000000,3,1.in,0.0366403,0.0876313,0.0749817,-1,-1,-1,-1,-1,0.04545,26.653,19.9168,0.187606,26.653,37.9486,0.970776,26.653,91.8174,0,0,0,5,0.000145,31418,0.0103107,1.06275,25.8611,90.1254,0.0240963,1.24943,26.6899,90.8733,0.040979,1.43121,27.0709,91.3001,0.077319,1.91993,28.9705,95.4424
test,ss_varden,10000000,3,2.in,0.0408917,0.070087,0.080389,-1,-1,-1,-1,-1,0.045709,25.9294,19.901,0.189078,25.9294,37.8868,0.9572,25.9294,91.6986,0,0,0.000260333,44072,0.00270067,1147691,0.00982,1.06146,25.5805,90.9205,0.021525,1.25006,26.3429,91.2863,0.0365743,1.44782,27.1312,92.064,0.0723843,1.92451,28.4906,94.4234
test,ss_varden,50000000,3,1.in,0.180587,0.420551,0.310732,-1,-1,-1,-1,-1,0.234585,32.304,22.3279,0.953513,32.304,42.2797,4.90244,32.304,104.095,0,1,0.000309333,51503,0.0195303,7722189,0.0506933,5.45033,31.7277,102.706,0.131654,6.48406,31.9952,103.919,0.221989,7.57304,32.7002,106.185,0.384705,10.1116,33.2474,106.133
test,ss_varden,50000000,3,2.in,0.183456,0.397096,0.306298,-1,-1,-1,-1,-1,0.235118,32.5737,22.3651,0.947339,32.5737,41.9747,4.8581,32.5737,102.559,0,0,1e-06,313,0.00537233,2213233,0.0502117,5.37392,32.0186,101.373,0.129195,6.36336,32.4388,101.51,0.226087,7.36328,32.6682,101.816,0.371548,10.0982,32.9231,105.649
test,ss_varden,100000000,3,1.in,0.392208,0.770303,0.617138,-1,-1,-1,-1,-1,0.488872,35.9366,23.3594,1.94345,35.9366,44.4623,9.99793,35.9366,111.096,7.6e-05,11082,0.002661,764068,0.0377977,14420496,0.105398,11.0868,32.6623,105.387,0.277888,13.1239,33.307,106.066,0.433863,15.2502,33.7825,107.382,0.754249,20.9075,34.68,112.049
test,ss_varden,100000000,3,2.in,0.40494,0.773315,0.619817,-1,-1,-1,-1,-1,0.486908,35.7432,23.3513,1.95502,35.7432,44.617,10.1349,35.7432,111.75,4.6e-05,8660,0.004045,1289498,0.0395613,13027512,0.109553,11.1811,32.4773,106.061,0.262726,13.2821,33.1852,107.525,0.407102,15.5085,33.7336,109.662,0.738273,20.859,34.7382,111.938
test,ss_varden,500000000,3,1.in,2.3864,3.82797,2.87857,-1,-1,-1,-1,-1,2.60153,44.9596,25.8712,10.1781,44.9596,50.1038,52.5698,44.9596,128.742,0.000215667,29478,0.00645367,2633931,0.164094,50027542,0.510444,58.4633,34.5982,111.808,1.18217,69.6183,36.4469,115.688,1.8441,-1,-1,-1,-1
zdtree,ss_varden,10000000,3,1.in,0.046104,0.060456,0.0316197,-1,-1,-1,-1,-1,0.337872,-1,-1,0.576581,-1,-1,2.07983,-1,-1,-1,-1,-1,-1,-1,-1,0.008338,2.44105,-1,-1,0.023717,3.18296,-1,-1,0.032311,3.71635,-1,-1,0.0578927,4.37364,-1,-1
zdtree,ss_varden,10000000,3,2.in,0.042992,0.0587157,0.031846,-1,-1,-1,-1,-1,0.191231,-1,-1,0.389338,-1,-1,1.71135,-1,-1,-1,-1,-1,-1,-1,-1,0.00869767,2.10997,-1,-1,0.0195973,2.63624,-1,-1,0.0302427,3.14506,-1,-1,0.0568103,4.39877,-1,-1
zdtree,ss_varden,50000000,3,1.in,0.22215,0.271157,0.20284,-1,-1,-1,-1,-1,0.67458,-1,-1,1.51683,-1,-1,7.30356,-1,-1,-1,0.0310387,8.6255,-1,-1,0.0778303,10.379,-1,-1,0.131062,12.0457,-1,-1,0.278325,16.6994,-1,-1,-1,-1
