solver,benchType,nodes,dims,10000small,10000medium,10000large
test,ss_varden,100000000,2,0.00052,0.02093,0.17088
zdtree,ss_varden,100000000,2,-1.0,-1.0,-1.0
cgal,ss_varden,100000000,2,0.12995,13.41155,128.939
test,uniform,100000000,2,0.00032,0.02398,0.1697
zdtree,uniform,100000000,2,-1.0,-1.0,-1.0
cgal,uniform,100000000,2,0.11599,12.2897,123.996
test,ss_varden,100000000,3,0.00068,0.03891,0.26562
zdtree,ss_varden,100000000,3,-1.0,-1.0,-1.0
cgal,ss_varden,100000000,3,0.12135,11.3815,113.855
LogTree,ss_varden,100000000,3,0.00151,0.06277,0.60943
BhlTree,ss_varden,100000000,3,0.00111,0.04388,0.38502
test,uniform,100000000,3,0.00275,0.0418,0.28587
zdtree,uniform,100000000,3,-1.0,-1.0,-1.0
cgal,uniform,100000000,3,0.12071,12.1053,129.0135
LogTree,uniform,100000000,3,0.00689,0.0746,0.64603
BhlTree,uniform,100000000,3,0.00337,0.04663,0.40817
