solver,benchType,build,depth,insert,delete,core
test,ss_varden,245.102,25.524,3.49899,2.6847,1
test,ss_varden,131.437,25.524,1.80378,1.38886,2
test,ss_varden,68.7742,25.524,0.94609,0.731199,4
test,ss_varden,35.6011,25.524,0.492596,0.385157,8
test,ss_varden,19.4784,25.524,0.288684,0.216659,16
test,ss_varden,15.1058,25.524,0.224781,0.179525,24
test,ss_varden,8.28855,25.524,0.132746,0.133136,48
test,ss_varden,6.41504,25.524,0.107266,0.111877,96
test,ss_varden,7.27878,25.524,0.131439,0.100278,192
test,uniform,258.802,25.5247,6.82396,7.31563,1
test,uniform,146.38,25.5247,3.70064,4.02161,2
test,uniform,76.4915,25.5247,1.88664,2.14135,4
test,uniform,39.4737,25.5247,0.973588,1.11025,8
test,uniform,21.3231,25.5247,0.511255,0.587888,16
test,uniform,16.2509,25.5247,0.367965,0.433913,24
test,uniform,8.6054,25.5247,0.193807,0.237795,48
test,uniform,5.8786,25.5247,0.118979,0.1597,96
test,uniform,6.45278,25.5247,0.094442,0.12654,192
zdtree,ss_varden,307.729,35,10.3709,12.4553,1
zdtree,ss_varden,159.741,35,4.79138,4.87425,2
zdtree,ss_varden,81.3138,35,2.42161,2.46638,4
zdtree,ss_varden,61.4728,35,1.9504,2.64488,8
zdtree,ss_varden,30.1488,35,1.03017,1.55835,16
zdtree,ss_varden,25.9836,35,0.495315,0.48507,24
zdtree,ss_varden,10.9488,35,0.274891,0.267468,48
zdtree,ss_varden,7.10963,35,0.162123,0.152395,96
zdtree,ss_varden,6.46818,35,0.146978,0.132273,192
zdtree,uniform,324.315,27,35.0938,37.1345,1
zdtree,uniform,187.577,27,16.8861,17.941,2
zdtree,uniform,97.6611,27,8.48682,9.11222,4
zdtree,uniform,81.2007,27,8.22374,4.7707,8
zdtree,uniform,33.1674,27,2.23355,2.5234,16
zdtree,uniform,28.7307,27,1.57253,1.82298,24
zdtree,uniform,12.1049,27,0.818846,0.941613,48
zdtree,uniform,7.77576,27,0.448558,0.514315,96
zdtree,uniform,6.66472,27,0.375707,0.41623,192
