solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum,rangeCountTime,rangeQueryTime
test,ss_varden,10000000,3,1.in,0.0443097,0.102605,0.0882793,-1,-1,-1,-1,-1
test,ss_varden,10000000,3,2.in,0.0422147,0.084912,0.075895,-1,-1,-1,-1,-1
test,ss_varden,50000000,3,1.in,0.178131,0.443398,0.318923,-1,-1,-1,-1,-1
test,ss_varden,50000000,3,2.in,0.189433,0.445649,0.302255,-1,-1,-1,-1,-1
test,ss_varden,100000000,3,1.in,0.414681,0.807814,0.616077,-1,-1,-1,-1,-1
test,ss_varden,100000000,3,2.in,0.3992,0.791878,0.624004,-1,-1,-1,-1,-1
test,ss_varden,500000000,3,1.in,2.40582,3.91187,3.01178,-1,-1,-1,-1,-1
test,ss_varden,500000000,3,2.in,2.38747,3.8412,3.00477,-1,-1,-1,-1,-1
test,uniform,10000000,3,1.in,0.039376,0.0491463,0.0413153,-1,-1,-1,-1,-1
test,uniform,10000000,3,2.in,0.0435273,0.049057,0.043597,-1,-1,-1,-1,-1
test,uniform,50000000,3,1.in,0.173627,0.229459,0.199361,-1,-1,-1,-1,-1
test,uniform,50000000,3,2.in,0.173237,0.219444,0.200341,-1,-1,-1,-1,-1
test,uniform,100000000,3,1.in,0.380422,0.44039,0.400192,-1,-1,-1,-1,-1
test,uniform,100000000,3,2.in,0.410471,0.422754,0.397984,-1,-1,-1,-1,-1
test,uniform,500000000,3,1.in,2.03366,2.5538,2.24561,-1,-1,-1,-1,-1
test,uniform,500000000,3,2.in,1.92152,2.53743,2.42322,-1,-1,-1,-1,-1
zdtree,ss_varden,10000000,3,1.in,0.0426053,0.058494,0.032723,2.07291,-1,-1,0.868267,-1
zdtree,ss_varden,10000000,3,2.in,0.0436463,0.05708,0.0326023,1.71559,-1,-1,0.234167,-1
zdtree,ss_varden,50000000,3,1.in,0.222823,0.257528,0.214423,7.25391,-1,-1,26.7041,-1
zdtree,ss_varden,50000000,3,2.in,0.220468,0.279843,0.203802,7.39651,-1,-1,22.2553,-1
zdtree,ss_varden,100000000,3,1.in,0.43981,0.587876,0.493776,14.5322,-1,-1,50.2172,-1
zdtree,ss_varden,100000000,3,2.in,0.439085,0.526951,0.484883,14.7138,-1,-1,7.72387,-1
zdtree,ss_varden,500000000,3,1.in,2.23172,3.11964,2.93738,77.4068,-1,-1,226.205,-1
zdtree,ss_varden,500000000,3,2.in,2.23354,3.17755,2.91709,76.2061,-1,-1,76.2806,-1
zdtree,uniform,10000000,3,1.in,0.044933,0.0628613,0.0648313,1.71445,-1,-1,2.28993,-1
zdtree,uniform,10000000,3,2.in,0.0462747,0.060624,0.0643273,1.71612,-1,-1,2.64653,-1
zdtree,uniform,50000000,3,1.in,0.233676,0.330174,0.342483,8.24126,-1,-1,11.6754,-1
zdtree,uniform,50000000,3,2.in,0.234846,0.319152,0.33435,8.22977,-1,-1,11.8819,-1
zdtree,uniform,100000000,3,1.in,0.470259,0.634932,0.670441,17.4021,-1,-1,23.0665,-1
zdtree,uniform,100000000,3,2.in,0.468094,0.650418,0.66035,17.4117,-1,-1,30.3134,-1
zdtree,uniform,500000000,3,1.in,2.39658,3.42901,3.57931,86.9013,-1,-1,75.4957,-1
zdtree,uniform,500000000,3,2.in,2.40537,3.4459,3.56869,86.9287,-1,-1,156.541,-1
cgal,ss_varden,10000000,3,1.in,3.63669,10.5776,2.72501,1.266,-1,-1,128.2,128.51
cgal,ss_varden,10000000,3,2.in,3.65788,9.38436,2.43841,1.27363,-1,-1,79.7698,79.8874
cgal,ss_varden,50000000,3,1.in,19.2741,49.0029,22.098,6.53179,-1,-1,18.3826,18.3462
cgal,ss_varden,50000000,3,2.in,17.2971,52.2258,26.0636,6.44971,-1,-1,35.1042,35.0594
cgal,ss_varden,100000000,3,1.in,33.9904,109.838,67.5938,13.3245,-1,-1,9.90471,9.89535
cgal,ss_varden,100000000,3,2.in,35.0753,106.259,63.8635,13.7003,-1,-1,327.23,327.261
cgal,ss_varden,500000000,3,1.in,193.631,643.575,819.73,75.4066,-1,-1,3053.25,3047.09
cgal,ss_varden,500000000,3,2.in,170.725,580.905,989.498,72.0112,-1,-1,3815.07,3800.39
cgal,uniform,10000000,3,1.in,9.0816,19.8038,22.8073,7.57117,-1,-1,56.7757,56.7827
cgal,uniform,10000000,3,2.in,9.11803,19.7556,22.79,7.65476,-1,-1,60.4119,60.2501
cgal,uniform,50000000,3,1.in,42.9863,108.402,163.63,43.117,-1,-1,300.831,301.303
cgal,uniform,50000000,3,2.in,44.3584,105.446,167.293,43.5642,-1,-1,295.923,295.436
cgal,uniform,100000000,3,1.in,95.2129,213.717,406.609,97.2381,-1,-1,666.591,612.331
cgal,uniform,100000000,3,2.in,105.427,219.99,399.688,96.191,-1,-1,634.464,632.935
cgal,uniform,500000000,3,1.in,543.355,1358.85,3325.33,568.198,-1,-1,3397.09,3245.13
cgal,uniform,500000000,3,2.in,552.377,1296.69,3351.92,558.927,-1,-1,2975.46,2818.15
