"","solver","benchType","nodes","dims","file","buildTime","queryTime","aveDeep","aveQueryVisNodeNum"
"1","zdtree","ss_varden",10000000,3,"1.in",0.0490277,2.25996,-1,-1
"2","zdtree","ss_varden",10000000,3,"2.in",0.0512277,1.84937,-1,-1
"3","zdtree","ss_varden",50000000,3,"1.in",0.248945,7.54793,-1,-1
"4","zdtree","ss_varden",50000000,3,"2.in",0.248298,7.73828,-1,-1
"5","zdtree","ss_varden",100000000,3,"1.in",0.498893,15.1135,-1,-1
"6","zdtree","ss_varden",100000000,3,"2.in",0.496899,15.2842,-1,-1
"7","zdtree","ss_varden",500000000,3,"1.in",2.50298,80.0494,-1,-1
"8","zdtree","ss_varden",500000000,3,"2.in",2.53205,79.3074,-1,-1
"9","zdtree","uniform",10000000,3,"1.in",0.0562777,1.79358,-1,-1
"10","zdtree","uniform",10000000,3,"2.in",0.0540823,1.80038,-1,-1
"11","zdtree","uniform",50000000,3,"1.in",0.270578,8.62751,-1,-1
"12","zdtree","uniform",50000000,3,"2.in",0.266452,8.65808,-1,-1
"13","zdtree","uniform",100000000,3,"1.in",0.53914,18.8969,-1,-1
"14","zdtree","uniform",100000000,3,"2.in",0.531655,18.8549,-1,-1
"15","zdtree","uniform",500000000,3,"1.in",2.70044,91.4806,-1,-1
"16","zdtree","uniform",500000000,3,"2.in",2.70156,92.197,-1,-1
"17","zdtree","uniform_bigint",10000000,3,"1.in",0.051657,1.73862,-1,-1
"18","zdtree","uniform_bigint",10000000,3,"2.in",0.0527063,1.74137,-1,-1
"19","zdtree","uniform_bigint",50000000,3,"1.in",0.263941,8.45213,-1,-1
"20","zdtree","uniform_bigint",50000000,3,"2.in",0.266946,8.48433,-1,-1
"21","zdtree","uniform_bigint",100000000,3,"1.in",0.534034,18.6723,-1,-1
"22","zdtree","uniform_bigint",100000000,3,"2.in",0.529137,18.799,-1,-1
"23","zdtree","uniform_bigint",500000000,3,"1.in",2.71448,89.7216,-1,-1
"24","test","ss_varden",10000000,3,"1.in",0.0352647,0.874981,29.8966,106.021
"25","test","ss_varden",10000000,3,"2.in",0.037829,0.79883,29.7477,106.542
"26","test","ss_varden",50000000,3,"1.in",0.225564,4.25414,31.3416,116.068
"27","test","ss_varden",50000000,3,"2.in",0.194238,4.11143,30.6914,111.461
"28","test","ss_varden",100000000,3,"1.in",0.419253,8.34047,32.4899,114.754
"29","test","ss_varden",100000000,3,"2.in",0.373069,8.48603,32.4963,117.212
"30","test","ss_varden",500000000,3,"1.in",1.88872,42.5819,36.2131,122.065
"31","test","ss_varden",500000000,3,"2.in",2.08222,42.9095,35.9037,121.295
"32","test","uniform",10000000,3,"1.in",0.032189,2.03612,28.281,112.501
"33","test","uniform",10000000,3,"2.in",0.0308057,2.01495,28.382,112.609
"34","test","uniform",50000000,3,"1.in",0.196361,12.0393,31.4342,114.657
"35","test","uniform",50000000,3,"2.in",0.184436,11.8159,31.3764,114.269
"36","test","uniform",100000000,3,"1.in",0.367001,25.4936,32.7852,118.572
"37","test","uniform",100000000,3,"2.in",0.34583,24.8941,32.8797,118.805
"38","test","uniform",500000000,3,"1.in",1.67219,122.127,36.2358,120.539
