solver,benchType,nodes,dims,build,aveDepth,insert_0.0001,insert_0.001,insert_0.01,insert_0.1,delete_0.0001,delete_0.001,delete_0.01,delete_0.1,k,depth,visNum,rangeQuery
test,uniform,1000000000,2,3.152,25.523,0.004,0.02,0.104,0.495,0.004,0.022,0.121,0.526,0.381,25.523,32.0,0.391
zdtree,uniform,1000000000,2,6.695,27.0,0.084,0.114,0.343,1.537,0.089,0.125,0.357,1.295,0.87,27.0,100.0,-1.0
test,ss_varden,1000000000,2,3.657,25.536,0.002,0.007,0.055,0.473,0.002,0.006,0.049,0.477,0.172,25.536,32.0,0.382
zdtree,ss_varden,1000000000,2,6.566,34.0,0.082,0.091,0.18,0.967,0.087,0.096,0.171,0.835,0.331,34.0,96.0,-1.0
test,uniform,1000000000,3,3.645,25.526,0.004,0.021,0.107,0.541,0.005,0.025,0.134,0.603,0.822,25.526,46.0,0.706
zdtree,uniform,1000000000,3,6.665,27.0,0.102,0.132,0.386,1.641,0.105,0.15,0.417,1.425,1.969,27.0,219.0,-1.0
test,ss_varden,1000000000,3,4.778,25.526,0.004,0.015,0.122,0.814,0.007,0.017,0.112,0.767,0.21,25.526,43.0,0.745
zdtree,ss_varden,1000000000,3,6.414,35.0,0.099,0.109,0.153,0.692,0.105,0.112,0.143,0.563,0.257,35.0,189.0,-1.0
test,uniform,1000000000,5,5.667,25.521,0.006,0.026,0.123,0.679,0.006,0.033,0.171,0.829,4.579,25.521,151.0,2.313
zdtree,uniform,1000000000,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
test,ss_varden,1000000000,5,6.268,25.521,0.007,0.022,0.157,1.433,0.009,0.024,0.127,1.325,0.336,25.521,55.0,2.236
zdtree,ss_varden,1000000000,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
test,uniform,1000000000,9,9.664,25.522,0.008,0.03,0.152,1.022,0.009,0.039,0.232,1.236,107.916,25.522,2166.0,16.206
zdtree,uniform,1000000000,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
test,ss_varden,1000000000,9,11.204,25.523,0.01,0.043,0.35,2.619,0.011,0.031,0.237,2.047,0.433,25.523,54.0,13.067
zdtree,ss_varden,1000000000,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
