=> zmen002 @ dynamic: ~/KDtree/script                                                                                                                                                           perf [!?*]
$ ./run_perf_time.sh | tee log.in
 begin test >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
1.in 0.0400167 18.8592
1.in 0.0697713 19.8611
1.in 0.167184 21.157
1.in 0.338785 22.1699
1.in 0.677358 23.1966
1.in 2.50078 24.5472
1.in 4.57431 25.5182
 begin cgal >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
1.in 3.65255 24
1.in 7.24388 26
1.in 16.264 26
1.in 34.2194 29
1.in 76.3818 31
1.in 175.928 33
1.in 446.597 36
 begin zdtree >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
1.in 0.0914083 34
1.in 0.152893 34
1.in 0.325697 34
1.in 0.601396 34
1.in 1.17551 35
1.in 2.94778 35
1.in 5.94334 35
__________________
