=> zmen002 @ dynamic: ~/KDtree/script                                                                                                                                                           perf [!?*]
$ ./run_perf_time.sh | tee log.in
 begin test >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
1.in 0.045269 18.8632
1.in 0.0680807 19.8536
1.in 0.155062 21.1655
1.in 0.300086 22.1743
1.in 0.665543 23.185
1.in 2.0235 24.5386
1.in 3.68385 25.5247
 begin cgal >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
1.in 9.63962 24
1.in 19.0971 25
1.in 43.3512 26
1.in 95.6038 27
1.in 186.414 28
1.in 593.304 30
1.in 1085.9 31
^[[>0;10;1c^[P>|WezTerm 20240203-110809-5046fc22^[\ begin zdtree >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
1.in 0.101506 20
1.in 0.170572 21
1.in 0.368249 23
1.in 0.702174 24
1.in 1.36952 25
1.in 3.38542 26
1.in 6.80147 27
