solver,benchType,nodes,dims,file,buildTime,queryTime,wrapSize
my_kd,craft_var_dim,100000,2,0.in,0.13951,1.79941,16
my_kd,craft_var_dim,100000,2,1.in,0.172629,2.06695,16
my_kd,craft_var_dim,100000,2,2.in,0.156286,2.03659,16
my_kd,craft_var_dim,100000,3,0.in,0.155504,3.20739,16
my_kd,craft_var_dim,100000,3,1.in,0.139401,3.06313,16
my_kd,craft_var_dim,100000,3,2.in,0.144331,3.1583,16
my_kd,craft_var_dim,100000,5,0.in,0.231507,10.3545,16
my_kd,craft_var_dim,100000,5,1.in,0.187892,9.63952,16
my_kd,craft_var_dim,100000,5,2.in,0.170406,9.22804,16
my_kd,craft_var_dim,100000,7,0.in,0.263248,34.6171,16
my_kd,craft_var_dim,100000,7,1.in,0.22104,34.7231,16
my_kd,craft_var_dim,100000,7,2.in,0.217408,34.6591,16
my_kd,craft_var_dim,100000,9,0.in,0.303184,167.724,16
my_kd,craft_var_dim,100000,9,1.in,0.31021,161.906,16
my_kd,craft_var_dim,100000,9,2.in,0.300595,164.749,16
my_kd,craft_var_dim,100000,10,0.in,0.342161,228.482,16
my_kd,craft_var_dim,100000,10,1.in,0.336289,226.886,16
my_kd,craft_var_dim,100000,10,2.in,0.347146,229.364,16
my_kd,craft_var_dim,100000,12,0.in,0.390804,318.979,16
my_kd,craft_var_dim,100000,12,1.in,0.403891,320.109,16
my_kd,craft_var_dim,100000,12,2.in,0.387074,322.697,16
my_kd,craft_var_dim,100000,15,0.in,0.476559,406.042,16
my_kd,craft_var_dim,100000,15,1.in,0.481242,401.419,16
my_kd,craft_var_dim,100000,15,2.in,0.467315,401.231,16
my_kd,craft_var_node,10000,5,0.in,0.019416,0.332353,16
my_kd,craft_var_node,10000,5,1.in,0.018889,0.328448,16
my_kd,craft_var_node,10000,5,2.in,0.018051,0.332148,16
my_kd,craft_var_node,50000,5,0.in,0.095202,5.58549,16
my_kd,craft_var_node,50000,5,1.in,0.101627,3.93587,16
my_kd,craft_var_node,50000,5,2.in,0.092497,4.1792,16
my_kd,craft_var_node,100000,5,0.in,0.197466,9.58545,16
my_kd,craft_var_node,100000,5,1.in,0.204302,9.64216,16
my_kd,craft_var_node,100000,5,2.in,0.194199,9.72101,16
my_kd,craft_var_node,500000,5,0.in,1.06544,59.2732,16
my_kd,craft_var_node,500000,5,1.in,1.06713,59.183,16
my_kd,craft_var_node,500000,5,2.in,1.05807,58.6,16
my_kd,craft_var_node,800000,5,0.in,1.73482,108.09,16
my_kd,craft_var_node,800000,5,1.in,1.73276,106.299,16
my_kd,craft_var_node,800000,5,2.in,1.75003,106.714,16
my_kd,craft_var_node,1000000,5,0.in,2.16958,134.471,16
my_kd,craft_var_node,1000000,5,1.in,2.15305,134.81,16
my_kd,craft_var_node,1000000,5,2.in,2.22566,134.959,16
my_kd,craft_var_node,1000000,5,3.in,2.26031,135.242,16
my_kd,craft_var_node,1000000,5,4.in,2.24554,136.054,16
my_kd,craft_var_node,2000000,5,0.in,5.12017,309.351,16
my_kd,craft_var_node,2000000,5,1.in,4.79535,307.026,16
my_kd,craft_var_node,2000000,5,2.in,4.68882,306.64,16
