solver,benchType,nodes,dims,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
test,ss_varden,100000000,2,0.05492,0.09778,0.14279,0.18435,0.2251,0.2638,0.30761,0.34112,0.37127,0.41293
zdtree,ss_varden,100000000,2,0.07166,0.13449,0.19588,0.28537,0.33639,0.37412,0.4496,0.50506,0.53691,0.61012
cgal,ss_varden,100000000,2,8.91358,8.51585,9.02506,8.38444,8.42892,8.51397,8.62694,8.74414,8.82555,8.86907
test,uniform,100000000,2,0.06685,0.10782,0.1566,0.19173,0.23292,0.27198,0.30849,0.3515,0.39318,0.4297
zdtree,uniform,100000000,2,0.13719,0.19217,0.23783,0.3235,0.36309,0.41009,0.47173,0.52501,0.57295,0.61578
cgal,uniform,100000000,2,13.23175,12.7688,13.13665,12.70945,12.7666,12.99535,12.8116,12.82825,13.15655,13.3042
test,ss_varden,100000000,3,0.10829,0.21585,0.27612,0.36769,0.43924,0.50479,0.5936,0.65445,0.72935,0.80244
zdtree,ss_varden,100000000,3,0.07017,0.12744,0.17918,0.25721,0.31542,0.37188,0.44056,0.49497,0.57725,0.62216
cgal,ss_varden,100000000,3,5.30657,4.9089,5.45407,4.80188,5.23687,5.70087,5.46138,5.86196,5.44058,5.91101
test,uniform,100000000,3,0.07008,0.12095,0.16836,0.21077,0.25321,0.29974,0.3418,0.39082,0.43484,0.46779
zdtree,uniform,100000000,3,0.1555,0.21568,0.26364,0.32962,0.39748,0.45632,0.52016,0.5716,0.61344,0.68415
cgal,uniform,100000000,3,13.2124,12.88585,13.1365,12.7305,13.0189,13.39825,12.94765,13.07575,13.5161,13.4111
BHLtree,ss_varden,100000000,3,3.963,4.182,4.559,5.681,6.014,6.242,6.412,7.030,7.189,7.587
Logtree,ss_varden,100000000,3,1.314,1.293,1.315,5.429,5.435,5.411,6.681,6.684,6.656,6.661
BHLtree,uniform,100000000,3,3.969,4.212,4.533,5.699,6.069,6.347,6.448,7.179,7.271,7.676
Logtree,uniform,100000000,3,1.344,1.297,1.337,5.523,5.437,5.480,6.719,6.704,6.698,6.723
