solver,benchType,nodes,dims,file,buildTime,queryTime,wrapSize
my_kd_wrap,craft_var_node,1000000,5,0.in,2.92799,137.352,2
my_kd_wrap,craft_var_node,1000000,5,1.in,2.68319,132.201,2
my_kd_wrap,craft_var_node,1000000,5,2.in,2.61542,140.802,2
my_kd_wrap,craft_var_node,1000000,5,3.in,2.54837,140.622,2
my_kd_wrap,craft_var_node,1000000,5,4.in,2.3065,135.16,2
my_kd_wrap,craft_var_node,1000000,5,0.in,2.11569,129.589,4
my_kd_wrap,craft_var_node,1000000,5,1.in,2.09749,132.587,4
my_kd_wrap,craft_var_node,1000000,5,2.in,2.21272,129.707,4
my_kd_wrap,craft_var_node,1000000,5,3.in,2.16791,138.13,4
my_kd_wrap,craft_var_node,1000000,5,4.in,2.57378,135.935,4
my_kd_wrap,craft_var_node,1000000,5,0.in,2.09167,125.856,8
my_kd_wrap,craft_var_node,1000000,5,1.in,2.0815,126.324,8
my_kd_wrap,craft_var_node,1000000,5,2.in,2.1466,126.348,8
my_kd_wrap,craft_var_node,1000000,5,3.in,2.10066,127.074,8
my_kd_wrap,craft_var_node,1000000,5,4.in,2.07299,125.673,8
my_kd_wrap,craft_var_node,1000000,5,0.in,2.07614,25.5598,16
my_kd_wrap,craft_var_node,1000000,5,1.in,2.0647,126.039,16
my_kd_wrap,craft_var_node,1000000,5,2.in,2.28815,126.309,16
my_kd_wrap,craft_var_node,1000000,5,3.in,2.1021,125.642,16
my_kd_wrap,craft_var_node,1000000,5,4.in,2.09677,125.356,16
my_kd_wrap,craft_var_node,1000000,5,0.in,2.12314,25.5051,32
my_kd_wrap,craft_var_node,1000000,5,1.in,2.08017,125.785,32
my_kd_wrap,craft_var_node,1000000,5,2.in,2.10707,125.951,32
my_kd_wrap,craft_var_node,1000000,5,3.in,2.10892,124.719,32
my_kd_wrap,craft_var_node,1000000,5,4.in,2.10503,125.708,32
my_kd_wrap,craft_var_node,1000000,5,0.in,2.08713,25.4603,64
my_kd_wrap,craft_var_node,1000000,5,1.in,2.06881,125.646,64
my_kd_wrap,craft_var_node,1000000,5,2.in,2.10409,124.994,64
my_kd_wrap,craft_var_node,1000000,5,3.in,2.09616,125.041,64
my_kd_wrap,craft_var_node,1000000,5,4.in,2.08715,125.514,64
my_kd_wrap,craft_var_node,1000000,5,0.in,2.08829,25.3821,128
my_kd_wrap,craft_var_node,1000000,5,1.in,2.07617,125.594,128
my_kd_wrap,craft_var_node,1000000,5,2.in,2.09453,124.93,128
my_kd_wrap,craft_var_node,1000000,5,3.in,2.13731,125.937,128
my_kd_wrap,craft_var_node,1000000,5,4.in,2.20361,126.008,128
my_kd_wrap,craft_var_node,1000000,5,0.in,2.11272,25.5304,256
my_kd_wrap,craft_var_node,1000000,5,1.in,2.06479,127.354,256
my_kd_wrap,craft_var_node,1000000,5,2.in,2.11381,124.96,256
my_kd_wrap,craft_var_node,1000000,5,3.in,2.10047,124.66,256
my_kd_wrap,craft_var_node,1000000,5,4.in,2.09144,125.264,256
my_kd_wrap,craft_var_node,1000000,5,0.in,2.10272,25.5292,512
my_kd_wrap,craft_var_node,1000000,5,1.in,2.06284,125.401,512
my_kd_wrap,craft_var_node,1000000,5,2.in,2.10416,125.546,512
my_kd_wrap,craft_var_node,1000000,5,3.in,2.10483,125.957,512
my_kd_wrap,craft_var_node,1000000,5,4.in,2.10137,125.505,512
my_kd_wrap,craft_var_node,1000000,5,0.in,2.08523,25.505,1024
my_kd_wrap,craft_var_node,1000000,5,1.in,2.05349,125.778,1024
my_kd_wrap,craft_var_node,1000000,5,2.in,2.09315,126.858,1024
my_kd_wrap,craft_var_node,1000000,5,3.in,2.09608,124.973,1024
my_kd_wrap,craft_var_node,1000000,5,4.in,2.09879,125.649,1024
my_kd_wrap,craft_var_node,1000000,5,0.in,2.2884,26.1775,2048
my_kd_wrap,craft_var_node,1000000,5,1.in,2.06691,125.451,2048
my_kd_wrap,craft_var_node,1000000,5,2.in,2.11138,125.788,2048
my_kd_wrap,craft_var_node,1000000,5,3.in,2.11421,125.386,2048
my_kd_wrap,craft_var_node,1000000,5,4.in,2.09527,125.124,2048
my_kd_wrap,craft_var_node,1000000,5,0.in,2.06564,25.5348,4096
my_kd_wrap,craft_var_node,1000000,5,1.in,2.06553,125.447,4096
my_kd_wrap,craft_var_node,1000000,5,2.in,2.1127,125.328,4096
my_kd_wrap,craft_var_node,1000000,5,3.in,2.09543,126.128,4096
my_kd_wrap,craft_var_node,1000000,5,4.in,2.08628,124.816,4096
my_kd_wrap,craft_var_node,1000000,5,0.in,2.08797,25.6303,8192
my_kd_wrap,craft_var_node,1000000,5,1.in,2.04991,124.815,8192
my_kd_wrap,craft_var_node,1000000,5,2.in,2.10659,125.393,8192
my_kd_wrap,craft_var_node,1000000,5,3.in,2.17349,125.181,8192
my_kd_wrap,craft_var_node,1000000,5,4.in,2.0856,124.645,8192
my_kd_wrap,craft_var_node,1000000,5,0.in,2.08454,25.4509,16384
my_kd_wrap,craft_var_node,1000000,5,1.in,2.06808,125.058,16384
my_kd_wrap,craft_var_node,1000000,5,2.in,2.09322,125.333,16384
my_kd_wrap,craft_var_node,1000000,5,3.in,2.09932,125.081,16384
my_kd_wrap,craft_var_node,1000000,5,4.in,2.08121,125.394,16384
